model,n,median_absolute_error,p90,p95,maximum_absolute_error,mean_squared_error,top10_fraction_squared_error
persistence,197,0.042611907405605415,0.14551130914549126,0.2663665158324708,1.687216503778569,0.026433226368143728,0.8137734650961571
rf,197,0.07129870207171171,0.1780457082251066,0.2137360085659359,0.7856929843172571,0.019686474304558527,0.5697187830258368
