task,sample,MAIN_BAS,n,persistence_mae,rf_mae,difference
US_chronological_basin,all_candidates,7060008710,29,0.05317179848784503,0.0612105816536749,0.008038783165829875
US_chronological_basin,all_candidates,7060013180,1,0.02686032237579611,0.04763352164378992,0.020773199267993814
US_chronological_basin,all_candidates,7060013550,18,0.16186944321816643,0.08014709578667624,-0.08172234743149019
US_chronological_basin,all_candidates,7060013560,2,0.10243803964684528,0.07901180306824926,-0.02342623657859602
US_chronological_basin,all_candidates,7060014200,1,0.021354600283237712,0.005039861149016722,-0.01631473913422099
US_chronological_basin,all_candidates,7060014340,1,0.14239521982963838,0.10164162022034617,-0.0407535996092922
US_chronological_basin,all_candidates,7060014930,15,0.04175628047610649,0.05045250738238682,0.008696226906280333
US_chronological_basin,all_candidates,7060016090,2,0.026118309684949798,0.005725394720831445,-0.020392914964118353
US_chronological_basin,all_candidates,7060022240,1,0.027973989294032386,0.09580748535874778,0.06783349606471539
US_chronological_basin,all_candidates,7060042310,1,0.05986068591044369,0.0697168379545009,0.00985615204405721
US_chronological_basin,all_candidates,7060042740,1,0.06828941544622691,0.01919762396080632,-0.04909179148542059
US_chronological_basin,all_candidates,7060042940,1,0.14034705458601493,0.11728435349433053,-0.0230627010916844
US_chronological_basin,all_candidates,7060043090,1,0.03291174898082459,0.0022879765747953057,-0.030623772406029287
US_chronological_basin,all_candidates,7060043160,1,0.009237677387737397,0.15809779161410592,0.14886011422636852
US_chronological_basin,all_candidates,7060043500,3,0.032732063878881446,0.022023213459125206,-0.01070885041975624
US_chronological_basin,all_candidates,7060043640,1,0.03332172814162829,0.03766614881619659,0.004344420674568306
US_chronological_basin,all_candidates,7060047060,105,0.07426607101469121,0.11294384012016546,0.03867776910547427
US_chronological_basin,all_candidates,7060047970,2,0.1437240754008329,0.09634600189660608,-0.04737807350422682
US_chronological_basin,all_candidates,7060048410,1,0.3221176472756707,0.6030120847566276,0.2808944374809569
US_chronological_basin,all_candidates,7060049270,1,0.1820411838165089,0.6058973356648636,0.4238561518483547
