country,,early_shape,late_shape,abs_shape_change
BR,0.25,0.00745658685095315,0.014180855772082949,0.003937488783668151
BR,0.5,0.0453064073945587,0.0355714826805463,0.0151138354766026
BR,0.75,0.1506969137133471,0.14065830633790916,0.04475173505071045
US,0.25,0.1716722644514499,0.1589239050565217,0.0210403907257349
US,0.5,0.2886660346592506,0.2699904997815742,0.0426119074056054
US,0.75,0.4442817632653581,0.3977358697471581,0.0851525603482497
