ID,name,status,timezone,inflow_n_common,inflow_max_abs_error,inflow_different_values,inflow_mask_disagreements,outflow_n_common,outflow_max_abs_error,outflow_different_values,outflow_mask_disagreements,exact_flow_replay,upstream_negative_inflow_days,upstream_missing_inflow_days,linear_fill_days,long_gap_partial_fill_days,gradient_removed_days
416,Pathfinder,processed,America/Denver,14253.0,5.684341886080802e-14,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,2.0,365.0,9.0,7.0,0.0
419,,processed,America/Denver,11468.0,7.105427357601002e-15,0.0,0.0,11998.0,3.552713678800501e-15,0.0,0.0,True,425.0,3345.0,605.0,161.0,0.0
42,,processed,America/Los_Angeles,14610.0,4.547473508864641e-13,0.0,0.0,10957.0,2.842170943040401e-14,0.0,0.0,True,1.0,0.0,1.0,0.0,0.0
420,Eden,processed,America/Denver,5918.0,3.552713678800501e-15,0.0,0.0,5816.0,8.881784197001252e-16,0.0,0.0,True,1080.0,8592.0,939.0,287.0,0.0
421,Seminoe,processed,America/Denver,14253.0,1.1368683772161603e-13,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,5.0,365.0,12.0,7.0,0.0
423,Fontenelle,processed,America/Denver,14610.0,1.1368683772161603e-13,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,3.0,0.0,3.0,0.0,0.0
431,Hyrum,processed,America/Denver,10283.0,3.552713678800501e-15,0.0,0.0,11289.0,3.552713678800501e-15,0.0,0.0,True,700.0,4070.0,425.0,126.0,0.0
437,Willard,processed,America/Denver,9000.0,7.105427357601002e-15,0.0,0.0,10118.0,3.552713678800501e-15,0.0,0.0,True,3104.0,2316.0,1875.0,819.0,0.0
438,Pineview,processed,America/Denver,12207.0,1.4210854715202004e-14,0.0,0.0,14135.0,7.105427357601002e-15,0.0,0.0,True,681.0,2358.0,621.0,105.0,0.0
442,Lost Creek,processed,America/Denver,11033.0,1.7763568394002505e-15,0.0,0.0,11027.0,1.7763568394002505e-15,0.0,0.0,True,282.0,2551.0,287.0,14.0,0.0
445,,processed,America/Denver,14374.0,1.4210854715202004e-14,0.0,0.0,14458.0,7.105427357601002e-15,0.0,0.0,True,166.0,209.0,132.0,49.0,0.0
448,,processed,America/Denver,13809.0,7.105427357601002e-15,0.0,0.0,13594.0,3.552713678800501e-15,0.0,0.0,True,241.0,919.0,349.0,70.0,0.0
449,Echo,processed,America/Denver,14537.0,1.4210854715202004e-14,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,94.0,95.0,112.0,28.0,0.0
450,East Canyon,processed,America/Denver,10961.0,1.7763568394002505e-15,0.0,0.0,11001.0,1.7763568394002505e-15,0.0,0.0,True,753.0,3637.0,722.0,133.0,0.0
451,Flaming Gorge,processed,America/Denver,14610.0,1.1368683772161603e-13,0.0,0.0,14610.0,5.684341886080802e-14,0.0,0.0,True,4.0,0.0,4.0,0.0,0.0
456,Rock Port Lake,processed,America/Denver,14493.0,1.4210854715202004e-14,0.0,0.0,14610.0,7.105427357601002e-15,0.0,0.0,True,77.0,200.0,151.0,63.0,0.0
