DAM_ID,STORAGE,STORAGE_START,STORAGE_END,DATA_SOURCE,INFLOW,INFLOW_START,INFLOW_END,DATA_SOURCE.1,OUTFLOW,OUTFLOW_START,OUTFLOW_END,DATA_SOURCE.2,ELEVATION,ELEVATION_START,ELEVATION_END,DATA_SOURCE.3,EVAPORATION,EVAPORATION_START,EVAPORATION_END,DATA_SOURCE.4
519,1,5/14/69,5/5/20,BOR ,1,1/1/10,5/5/20,BOR ,1,6/1/69,5/5/20,BOR ,1,6/1/69,5/5/20,BOR ,0,NA,NA,NA
521,1,10/24/74,12/31/18,BOR,1,6/26/90,12/31/18,BOR,1,6/26/90,12/31/18,BOR,0,NA,NA,BOR,0,NA,NA,NA
522,1,10/1/56,7/20/20,DENW,1,10/1/56,7/20/20,DENW,1,10/1/56,7/20/20,DENW,1,10/1/56,7/20/20,DENW,0,NA,NA,NA
524,1,1/1/80,12/31/20,usgs_10336710,1,1/1/80,12/31/20,BOR_PN,1,1/1/80,12/31/20,BOR_PN,0,NA,NA,NA,0,NA,NA,NA
527,1,4/27/95,12/31/20,usgs_10301700,0,NA,NA,NA,1,4/19/95,12/31/20,usgs_10301700,0,NA,NA,NA,0,NA,NA,NA
529,1,5/23/57,7/29/20,DENW,1,5/23/57,7/29/20,DENW,1,5/24/57,7/29/20,DENW,1,5/23/57,7/29/20,DENW,1,8/1/17,7/29/20,DENW
530,1,1/1/90,7/28/20,AUR,1,1/1/90,7/28/20,AUR,1,1/1/90,7/28/20,AUR,0,NA,NA,NA,0,NA,NA,NA
531,1,10/25/74,1/27/21,BOR,1,10/26/74,1/27/21,BOR,1,10/25/74,1/27/21,BOR,1,10/25/74,1/27/21,BOR,0,NA,NA,NA
533,1,4/18/97,7/20/20,DENW,1,4/18/97,7/20/20,DENW,1,4/18/97,7/20/20,DENW,1,4/18/97,7/20/20,DENW,0,NA,NA,NA
536,1,10/1/58,1/27/21,BOR ,1,10/1/62,1/27/21,BOR ,1,10/1/61,1/27/21,BOR ,1,10/1/58,1/27/21,BOR ,0,NA,NA,NA
537,1,10/28/74,1/27/21,BOR,1,9/29/90,1/27/21,BOR,1,10/28/74,1/27/21,BOR,1,10/28/74,1/27/21,BOR,0,NA,NA,NA
541,1,1/31/66,1/27/21,BOR,1,12/2/68,1/27/21,BOR,1,12/1/68,1/27/21,BOR,1,11/30/65,1/27/21,BOR,0,NA,NA,NA
542,1,12/1/70,1/27/21,BOR,1,12/2/70,1/27/21,BOR,1,12/2/70,1/27/21,BOR,1,3/31/68,1/27/21,BOR,0,NA,NA,NA
544,1,5/31/92,1/1/21,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
545,1,1/1/80,12/31/20,BOR,0,NA,NA,NA,1,1/1/80,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA
546,1,1/1/80,12/31/20,usgs_10292500,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_10293000,0,NA,NA,NA,0,NA,NA,NA
548,1,5/31/92,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
549,1,8/1/73,1/27/21,BOR,1,6/29/79,1/27/21,BOR,1,1/1/80,1/27/21,usgs_09125800,1,8/1/73,1/27/21,BOR,0,NA,NA,NA
551,1,5/31/92,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
554,1,1/1/80,12/31/20,CDEC,1,NA,NA,CDEC,1,1/1/80,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA
555,1,10/2/18,1/1/21,CDEC,0,NA,NA,NA,1,1/1/80,1/1/21,usgs_11277500,0,NA,NA,NA,0,NA,NA,NA
557,1,1/8/85,12/31/20,CDEC,1,1/17/94,12/31/20,CDEC,1,1/1/80,12/31/20,usgs_11275500,0,NA,NA,NA,0,NA,NA,NA
567,1,3/20/84,1/27/21,BOR,1,3/20/84,1/27/21,BOR,1,3/20/84,1/27/21,BOR,1,3/20/84,1/27/21,BOR,0,NA,NA,NA
572,1,1/1/60,1/27/21,BOR,1,4/5/60,1/27/21,BOR,1,5/18/60,1/27/21,BOR,1,1/1/60,1/27/21,BOR,0,NA,NA,NA
574,1,12/13/63,1/28/21,BOR,1,12/13/63,1/28/21,BOR,1,12/13/63,1/28/21,BOR,1,12/13/63,1/28/21,BOR,0,NA,NA,NA
575,1,5/3/41,1/27/21,BOR,1,5/3/41,1/27/21,BOR,1,5/3/41,1/27/21,BOR,1,5/3/41,1/27/21,BOR,0,NA,NA,NA
578,1,3/12/16,1/27/21,BOR,0,NA,NA,NA,1,3/11/16,1/27/21,BOR,1,3/10/16,1/27/21,BOR,0,NA,NA,NA
580,1,1/1/20,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
585,1,1/1/85,1/1/21,CDEC,1,1/2/94,1/1/21,CDEC,1,10/1/93,1/1/21,CDEC,0,NA,NA,NA,0,NA,NA,NA
592,1,1/1/85,1/1/21,CDEC,1,1/2/94,1/1/21,CDEC,1,10/1/93,1/1/21,CDEC,0,NA,NA,NA,0,NA,NA,NA
593,1,1/2/01,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,CDEC,0,NA,NA,CDEC,0,NA,NA,NA
595,1,1/1/85,12/31/20,BOR,1,1/1/94,12/31/20,BOR,1,6/20/87,12/31/20,BOR,0,NA,NA,NA,0,NA,NA,NA
596,1,1/2/01,12/31/20,CDEC,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA
597,1,6/28/63,1/27/21,BOR,1,3/11/63,1/27/21,BOR,1,3/14/63,1/27/21,BOR,1,12/28/63,1/27/21,BOR,0,NA,NA,NA
1286,1,3/4/80,12/31/20,TWDB,0,NA,NA,NA,1,1/1/80,12/31/20,TWDB,1,10/2/95,12/31/20,TWDB,0,NA,NA,NA
599,1,4/1/91,12/31/20,usgs_8253900,0,NA,NA,NA,1,1/1/80,12/31/20,usgs_8253900,0,NA,NA,NA,0,NA,NA,NA
600,1,1/1/85,1/1/21,CDEC,1,1/2/94,1/1/21,CDEC,1,6/21/87,1/1/21,CDEC,0,NA,NA,NA,0,NA,NA,NA
601,1,7/1/62,1/27/21,BOR,1,7/2/62,1/27/21,BOR,1,7/2/62,1/27/21,BOR,1,6/26/62,1/27/21,BOR,0,NA,NA,NA
603,1,12/31/74,1/27/21,BOR,0,NA,NA,NA,1,1/1/08,1/27/21,BOR,1,1/1/08,1/27/21,BOR,0,NA,NA,NA
604,1,12/31/74,1/28/21,BOR,0,NA,NA,NA,1,1/1/75,1/28/21,BOR,1,1/1/75,1/28/21,BOR,0,NA,NA,NA
605,1,1/1/85,1/1/21,CDEC,1,1/2/94,1/1/21,CDEC,1,1/2/94,1/1/21,CDEC,0,NA,NA,NA,0,NA,NA,NA
606,1,1/2/74,1/27/21,BOR,0,NA,NA,NA,1,1/1/10,1/27/21,BOR,1,12/31/74,1/27/21,BOR,0,NA,NA,NA
609,1,1/4/88,1/1/21,CDEC,1,1/2/94,1/1/21,CDEC,1,10/1/93,1/1/21,CDEC,0,NA,NA,NA,0,NA,NA,NA
