source_cars,country_cars,ID,period,flagged_cars,MAIN_BAS_cars,early_start_cars,early_end_cars,late_start_cars,late_end_cars,early_nyears_cars,late_nyears_cars,mean_shift_cars,season_shift_cars,abs_shape_change_cars,early_shape_cars,early_ratio_cars,early_low10_cars,early_cv_cars,early_zero_delta_cars,early_mean_in_cars,early_concentration_cars,early_trend_cars,early_month1_cars,early_month2_cars,early_month3_cars,early_month4_cars,early_month5_cars,early_month6_cars,early_month7_cars,early_month8_cars,early_month9_cars,early_month10_cars,early_month11_cars,early_month12_cars,late_shape_cars,late_ratio_cars,late_low10_cars,late_cv_cars,late_zero_delta_cars,late_mean_in_cars,late_concentration_cars,late_trend_cars,late_month1_cars,late_month2_cars,late_month3_cars,late_month4_cars,late_month5_cars,late_month6_cars,late_month7_cars,late_month8_cars,late_month9_cars,late_month10_cars,late_month11_cars,late_month12_cars,source_upstream,country_upstream,flagged_upstream,MAIN_BAS_upstream,early_start_upstream,early_end_upstream,late_start_upstream,late_end_upstream,early_nyears_upstream,late_nyears_upstream,mean_shift_upstream,season_shift_upstream,abs_shape_change_upstream,early_shape_upstream,early_ratio_upstream,early_low10_upstream,early_cv_upstream,early_zero_delta_upstream,early_mean_in_upstream,early_concentration_upstream,early_trend_upstream,early_month1_upstream,early_month2_upstream,early_month3_upstream,early_month4_upstream,early_month5_upstream,early_month6_upstream,early_month7_upstream,early_month8_upstream,early_month9_upstream,early_month10_upstream,early_month11_upstream,early_month12_upstream,late_shape_upstream,late_ratio_upstream,late_low10_upstream,late_cv_upstream,late_zero_delta_upstream,late_mean_in_upstream,late_concentration_upstream,late_trend_upstream,late_month1_upstream,late_month2_upstream,late_month3_upstream,late_month4_upstream,late_month5_upstream,late_month6_upstream,late_month7_upstream,late_month8_upstream,late_month9_upstream,late_month10_upstream,late_month11_upstream,late_month12_upstream
cars,US,1001,train,False,7060047060.0,1980,1989,1990,1999,10,10,0.30357989200048513,0.23480505749603375,0.0859488165921406,0.21349272204209602,0.572851244440706,0.0,3.5793356285817914,-0.10876712328767121,3.588237378509033,0.11041336395757737,0.39328281506996987,0.03499247349740156,0.07043428425904878,0.1446805099372617,0.1711750187804933,0.14047604741217934,0.11018365315173384,0.042640821101816266,0.052411775078577194,0.03664314848732969,0.11268782919538384,0.03924866993584086,0.044425769162933525,0.2994415386342366,0.7572490798431898,0.029212189318620185,3.7985236008908774,-0.401697699890471,4.860984517496864,0.12967962211756645,0.3619415152206642,0.020500607420091493,0.0461520640472545,0.09030169916717806,0.1426166209455653,0.1891570665601596,0.20290851449074773,0.056436468942660294,0.040485667069055785,0.022231041312289226,0.025932281778027956,0.11600802187658876,0.04726994639038119,upstream,US,False,7060047060.0,1980,1989,1990,1999,10,10,0.3023592475725824,0.23289225032191668,0.09994350280212252,0.24525958501172093,0.5728665516056787,0.0,3.913202225822618,-0.13076923076923075,3.5930936813186816,0.11021780404087414,0.39616975224228934,0.03570425589812447,0.072840287850754,0.14349567596138535,0.17035596601263675,0.14296971272957182,0.10754048078039825,0.042304142539629414,0.052776996406644294,0.0369178936912014,0.11243647287022931,0.03788525621611852,0.044772859043306606,0.34520308781384346,0.7571921979226182,0.02920833836487735,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.36218817458155605,0.020894631808129654,0.04576720607822534,0.09027187009424457,0.14335969111426322,0.18932318373276283,0.2029598320575741,0.055538558449118924,0.04035904722682321,0.022711563659695802,0.028271288387677014,0.11401904942568304,0.046524077965802324
cars,US,1003,train,False,7060047060.0,1980,1989,1990,1999,10,10,0.026468497180830178,0.1790047968356784,0.033344269377052316,0.43123504477117447,0.9863783381343949,0.0037978029965581965,3.292402688188013,-0.021626060771968245,15.008677398921673,0.10582730192679754,0.3666886342569876,0.0340810462752199,0.08516582476220926,0.13374220854977995,0.1492959655270022,0.1356966714822,0.12585834199344595,0.015462033509247491,0.06111150387181932,0.039760479683307266,0.10276839104342553,0.06128852693282357,0.05576900636951958,0.39789077539412215,0.9657489691380513,0.0035958606576160577,3.6712907746100636,-0.08242059145673604,15.411238627752114,0.11142053394138113,0.1836589403357946,0.03193860824769264,0.05785435052104286,0.10608031617401,0.1444107478715702,0.172172787489001,0.10804813551279706,0.058030135452563955,0.024337580865347205,0.032168749814997635,0.04794047586307344,0.14583602213716468,0.07118209005073947,upstream,US,False,7060047060.0,1980,1989,1990,1999,10,10,0.02587087753259041,0.1735093706449538,0.041457000836928104,0.4774643312275672,0.9861622784263714,0.0037951372334757484,3.570414960206862,-0.023561643835616437,15.019219726027398,0.10566020266461608,0.36580626777478226,0.03420804086789106,0.08645961069206813,0.13284428689654126,0.14862140477100466,0.13967387394329006,0.12181584246610624,0.015195707593076355,0.061689577219705624,0.040254539972818755,0.10178707640212308,0.06156447723822437,0.05588556193715041,0.4360073303906391,0.9660557626344413,0.005514878838243391,3.964799140225918,-0.09419496166484119,15.412849945235488,0.1114533023557359,0.183879884577454,0.03213146211906084,0.057950802348959614,0.10642829641302985,0.14570431764451391,0.17142271224733036,0.10712711658925014,0.058008345975520625,0.023997877476951993,0.033451572250349136,0.04737956380118948,0.14644259579992286,0.06995533733392116
cars,US,1006,train,False,7060047060.0,1980,1989,1990,1999,10,10,0.10326090585019816,0.17892085930867035,0.06862479260299176,0.5012735670465238,0.9014397634809794,-0.04884094855848108,2.146493076321936,0.0002737476047084588,34.7863841744526,0.10456745716180378,0.3717491462529604,0.06847122711069707,0.10576480474599391,0.1456131816343494,0.14490075819444762,0.08024100435804025,0.06564613301974953,0.030011317755819156,0.028363227588115,0.026150343142133707,0.0630303919950164,0.1122953944082225,0.12951221604741553,0.43264877444353206,0.917394424756589,-0.06240525465652513,2.1213441714161885,0.0,38.57046995878772,0.10316978296641854,-0.18471233776016818,0.07661065288287822,0.0721940257848428,0.12081555104529067,0.13318199627391117,0.17359620630911554,0.08733334493391853,0.04599332835005481,0.018870787050905658,0.06590735221914285,0.04443869924504921,0.09130161757639188,0.0697564383284985,upstream,US,False,7060047060.0,1980,1989,1990,1999,10,10,0.10313476972590781,0.17804423733910402,0.07609811491452956,0.5610128012044433,0.9014118440718742,-0.048832948268498606,2.316097876428755,0.0010949904188338351,34.79208321927183,0.10460113158313995,0.3717829104620693,0.06819181925273818,0.10574970880160332,0.1465172876328883,0.1441623573080648,0.07954391454361713,0.06559987027076022,0.03026285435170472,0.027933636979064876,0.026990149452993925,0.06250316691042042,0.11284675111970938,0.1296984833764348,0.48491468628991374,0.9174135892589784,-0.05872146899807322,2.2550236291986283,-0.0002738225629791895,38.57192332968236,0.10314826871749366,-0.1847975538545575,0.07694899978606418,0.07224306444943497,0.12074541987336157,0.13398671081911642,0.17300398345464413,0.08681765641381858,0.0458749186382186,0.018864340598576234,0.06598728691817275,0.044392701635947544,0.09154116890521245,0.06959374850743263
cars,US,1007,train,False,7060047060.0,1980,1989,1990,1999,10,10,0.1012363802221713,0.17994865333664378,0.003370227203922993,0.41288169543431374,0.9792224413395029,0.004836773181822407,3.3945711580149878,-0.0186148371201752,10.535605333912565,0.11277308543351316,0.3654310620084692,0.03773766771639144,0.09037694410725597,0.1436526438625422,0.1731421180092142,0.1436773462048166,0.11550591684656727,0.020758416345979806,0.03051248322970433,0.035918092340008166,0.09985387693193219,0.050350492835891235,0.05851400156969656,0.40951146823039075,0.9638037299089863,0.004803547971459319,3.44507563388024,-0.07749178532311062,11.658049494400528,0.11580871225993541,0.283416625615017,0.03610864698756296,0.0539979771158255,0.11459343401843726,0.1427400367338031,0.16622323358751798,0.14542629407383686,0.0422962001113121,0.02941249864129473,0.02154153384130112,0.03285104552218003,0.1393027131343879,0.07550638623254037,upstream,US,False,7060047060.0,1980,1989,1990,1999,10,10,0.10119572271230903,0.17803068252089074,0.008764105867713923,0.45743059170394984,0.9789574934852987,0.0054092757853095716,3.735589818940708,-0.019983575143717493,10.537454968519027,0.11265743205455696,0.36552369256996087,0.03751071322161508,0.09264908098477234,0.142567920155919,0.17219973448382203,0.14752688407805165,0.1114182321957499,0.02048137023659921,0.030740993704284767,0.03661629836426436,0.0989605911653821,0.05046950610109706,0.05885867530844245,0.4486664858362359,0.9640009591145707,0.007290116188134879,3.781110725606949,-0.08762322015334063,11.65962212486309,0.11595109806643798,0.28371907618168524,0.036499452571972346,0.05385686647593971,0.11476665381271528,0.14413134139359066,0.1654332901058549,0.1449958831345668,0.04159778999712078,0.02928493358765683,0.02196978272438326,0.03270561899291092,0.14039603165172024,0.07436235555156838
cars,US,1017,train,False,7060047060.0,1980,1989,1990,1999,10,10,0.07311152670124513,0.1465821377019887,0.07372010611305324,0.3606118019797683,0.9908748197156512,-0.050661013468160376,2.141879787126787,0.0046537092800438,27.393040097895348,0.10154911964275169,0.2153384659784099,0.07464930463429661,0.10554976679910183,0.0961019456108242,0.12415678952327222,0.10447270141598894,0.07703013699145232,0.03414289495215856,0.0384565448931413,0.03097420178615421,0.04185087469762931,0.11603178299128616,0.15658305570469416,0.28689169586671504,0.9924843437302984,-0.010208946932849452,1.7789201090995068,0.0,29.470816331888248,0.10589994434186288,0.00940432931704901,0.10060860964647546,0.08089615329031082,0.11565827205850188,0.168033351621012,0.1474698422602029,0.06847957612171923,0.04632966051058345,0.030987956835868743,0.03298023952790784,0.031359315365402166,0.10100069477415227,0.07619632798786323,upstream,US,False,7060047060.0,1980,1989,1990,1999,10,10,0.0732079219724475,0.14615047495832215,0.07344854359975173,0.3795487517414089,0.9908638628068488,-0.04857978041438171,2.3342100015222185,0.005474952094169176,27.395957508404052,0.10148864995273896,0.2153256830533406,0.07436463116009456,0.10553286776857265,0.09828739516330463,0.12304287779334737,0.1032885170596791,0.07688995013545352,0.034071292371747906,0.038515287870570084,0.030887551294914398,0.04189313189609786,0.11710547797298113,0.15612101951323673,0.30610020814165717,0.9923696418669593,-0.009606471373662271,1.9407568880716333,0.0,29.476796316319824,0.10587028153374214,0.009541308135397818,0.10003698438869488,0.0815405812914759,0.11522688843972176,0.16859541393580182,0.14677830726188207,0.06823540800146465,0.04633412633193778,0.03078805683074828,0.03312101944337179,0.03145277624918324,0.1013727363502353,0.07651770147548245
cars,US,1017,test,False,7060047060.0,2000,2009,2010,2019,10,10,0.24177886827061593,0.08936960038271644,0.07034695351870968,0.3063632691613325,0.9922848092369912,-0.01580790911346774,2.2306606206254185,0.0,24.48117988842435,0.1125031076862521,0.2414487875196399,0.08021223841706773,0.09831273395018997,0.15294341900555344,0.14130351989282972,0.17864208861531267,0.06628227910014979,0.03561890605251853,0.027048614557814526,0.034183008397172296,0.02746530510192866,0.06603710995856618,0.09195077695089626,0.3767102226800422,0.9876262748847598,-0.0023538985585335784,2.4312780824503624,0.0,31.177089769061546,0.11043514027520925,0.2682665491913383,0.07085769949007727,0.07294722455822401,0.11012121267682091,0.1698499780751085,0.18867677075119466,0.06599329110025977,0.04798978220344943,0.050519010942912675,0.03050277382722329,0.04241249263045537,0.06262717877348059,0.08750258497079351,upstream,US,False,7060047060.0,2000,2009,2010,2019,10,10,0.24159651323135697,0.09128684892477756,0.06618069084107314,0.32732625657686143,0.9923587118366136,-0.02313219992086837,2.4049742148763946,0.0,24.48258280394197,0.11239669627848295,0.24148972045014358,0.07996376609656332,0.09882635588968862,0.1529362632846583,0.14144393560155183,0.17800237338131958,0.06614207084135405,0.035696283650130625,0.02687938834221355,0.03416732945607268,0.027539222788354936,0.0667107189532878,0.09169229171480485,0.39350694741793457,0.9878151033770952,-0.002725110791587422,2.5923607510533575,0.0,31.173191292716325,0.11016678882381603,0.26872357012826426,0.07052107172804364,0.07352128041443717,0.11059507455435094,0.17190932116648958,0.1858940445295288,0.06563248761907514,0.047958318440741186,0.050495636365621,0.03044756636628393,0.044590732185967374,0.06083270093184784,0.08760176569761324
cars,US,1020,train,False,7060047060.0,1980,1989,1990,1999,9,10,0.1264518298373936,0.10368673838130858,0.05627947551919732,0.3335270762765681,0.940247040841603,0.0018631831169473106,3.277256998108301,-0.016272643536997235,15.028045147744768,0.11613333508568152,0.6101453409496851,0.03154561242154381,0.07433880701904934,0.13604994950723592,0.13146400013661463,0.15718244332174308,0.15585559921808123,0.034163278349276516,0.00749389829431002,0.03431277623910032,0.128132866924903,0.05725769292619929,0.052203075641942674,0.3898065517957654,0.9409835525025927,0.010722676044316665,2.5456494155489597,-0.17031763417305587,13.242962802673143,0.1186907207201656,0.26047681760258123,0.042334228504317443,0.06438728829498072,0.13039724294539828,0.13638870977592482,0.18851885477303257,0.15723792577369927,0.06507032946243375,0.008991380487609644,0.014728861162183374,0.05963426890641763,0.07079761904172621,0.06151329087227613,upstream,US,False,7060047060.0,1980,1989,1990,1999,9,10,0.12715970181130307,0.10467909061040141,0.05669057556068158,0.36001700477067244,0.9393936266797575,0.0037902036320506334,3.4310757378601,-0.01997541487400123,15.038769821757837,0.11547191388136692,0.6091097303868582,0.03140616456662095,0.07541017166509417,0.13678464780142013,0.1308340579338913,0.1572661498531648,0.1545320773758348,0.03395340177611413,0.007504492026212847,0.03707079000911331,0.12543144734475165,0.057481117693814816,0.052325481953967086,0.416707580331354,0.9410700827753254,0.010722616882249401,2.6449103130359712,-0.18838992332968235,13.24303587075575,0.11855351620734374,0.26043141429876626,0.042788489939131244,0.06448426353664112,0.13041995020756014,0.1378300115870279,0.18841962173716426,0.15564402021877335,0.06474489360968763,0.008962056086557884,0.0147995287444369,0.060314223721339655,0.07046275143435966,0.061130189177320195
cars,US,1021,train,False,7060047060.0,1980,1989,1990,1999,10,10,0.496890099717678,0.1073774999729562,0.017372212820955274,0.16201282049002438,0.9126215519401153,-0.034510886173520605,1.9494305080143708,0.014234875444839857,16.44650127149811,0.10625221111845684,0.3508020547251844,0.03615974383299278,0.048004089295222645,0.11571361871880338,0.11845323023618493,0.1537837249009544,0.16699403138479896,0.07298944436759494,0.0391342489733661,0.055229729708423,0.08548102580657224,0.07175698727306903,0.03630012550201757,0.17938503331097966,0.9837281574271821,-0.009516058301949558,2.142351195680906,-0.022453450164293537,27.03150035142546,0.09958990698955555,0.9251681107875727,0.04121907009567097,0.04246432887140811,0.08324885766368521,0.118141136769547,0.1537377172647501,0.13617919617382712,0.09932066959429454,0.09162718955390482,0.05269131715717277,0.04981939617761298,0.0863739007378418,0.0451772199402844,upstream,US,False,7060047060.0,1980,1989,1990,1999,10,10,0.4965974681621297,0.1064804145685759,0.019006651150896753,0.17277461085756865,0.912526844800551,-0.032700935065703485,2.0008728000751703,0.016698603887215984,16.452128935121817,0.10621301433836684,0.35101610997218907,0.03631757980794124,0.048425857950832214,0.11597970483244431,0.11834464463481613,0.1542096425989466,0.1668038971356678,0.07200645355086813,0.03940670047752543,0.0560110298188706,0.08498967888769095,0.07123300449102622,0.03627180581337053,0.1917812620084654,0.9837320791287422,-0.0031443239316102946,2.214072470896591,-0.023274917853231106,27.03283817086528,0.09946409063357288,0.925215760385955,0.041394859452761834,0.042357179376731634,0.08343547929238025,0.1185474949461339,0.15339995852069296,0.13653158542876007,0.09859301076208225,0.09160084548907471,0.052786707983905626,0.051428486053406004,0.08478920383280954,0.04513518886126135
cars,US,1023,train,False,7060047060.0,1980,1989,1990,1999,10,10,0.1501581106666808,0.1657399597456631,0.03365804442986439,0.2389707754547138,0.9646084507883987,-0.0587195959163853,1.9204448090587967,0.0035587188612099642,96.4413993594901,0.09867014534510682,0.39068110447727017,0.037150820198804176,0.05603473190697841,0.1273276966001512,0.13755291984553938,0.12339156224456364,0.12506015893128747,0.07160496887594638,0.045299063829510204,0.06040718077644558,0.10291419432430789,0.0692423454072826,0.04401435705918306,0.2053127310248494,0.9734506699702858,-0.0640365647246809,2.0757766288171977,0.0,112.06663772258996,0.10531744171909926,0.3552068345579249,0.0385988280688527,0.05314233634177258,0.09182338816753771,0.09747856191700682,0.1630258795693422,0.16350688451568543,0.10288268383028253,0.060981036189354194,0.03929217536143681,0.03676030192000544,0.09781618862987984,0.05469173548884379,upstream,US,False,7060047060.0,1980,1989,1990,1999,10,10,0.15016499659420376,0.16474834897485868,0.032714238400443935,0.2531369659477044,0.9645440167881646,-0.05870861291322154,1.986598314362842,0.004106214070626882,96.45944128113878,0.09852220084892853,0.39081024556531596,0.03722523847546062,0.05658276569942171,0.12811252098629092,0.1366351682077101,0.12403565313314449,0.12440894077569652,0.07111777495863474,0.04564552347890415,0.060938323623471874,0.10197107959282116,0.0692357024488653,0.04409130861957845,0.22042272754726047,0.9734140428389485,-0.051739531608440005,2.11970492899036,0.0030120481927710845,112.08837458926614,0.10522785150658522,0.355507765306289,0.03871412984782408,0.0531181945837097,0.09181984845590957,0.09838495747263108,0.1631793094218431,0.16275978489278028,0.10243867238382139,0.06094607900435628,0.0393508492155003,0.03681765940710647,0.09794978606205795,0.054520729252459876
cars,US,1026,train,False,7060047060.0,1980,1989,1990,1999,10,10,0.2185779546537356,0.13266077177107072,0.015066426171802899,0.26443048161331983,0.9440440657054554,-0.06305714104806295,1.658047623013759,0.0,115.44731036544448,0.1065229029769647,0.48077986199881,0.066982584122454,0.12036804704558872,0.1502347595114182,0.14943335710877106,0.08592249402973347,0.0764788555386758,0.041208070987490575,0.03836838864406936,0.02346404164913268,0.03916620316404027,0.06918101241365521,0.13919218578497064,0.24936405544151694,0.9635442535005001,-0.05810966301812613,1.3500730960120721,0.0,143.65178239052625,0.10416587429849726,-0.23265865730586846,0.10225968378372326,0.09375223696294377,0.13292150400956357,0.14952026874768545,0.1423901254375188,0.08899209975629571,0.043786356051745336,0.030886066637519406,0.03977521297288496,0.022545850169155057,0.07860744087113002,0.07456315459983466,upstream,US,False,7060047060.0,1980,1989,1990,1999,10,10,0.21849685886174855,0.1343098391828815,0.022739020940337085,0.2905595935097059,0.9439517158436465,-0.06105916656796585,1.7309318367471558,0.0,115.47624372094168,0.10655730794096771,0.48096458254009816,0.0672620357805018,0.12008013437875198,0.1525902872785835,0.14726229355111023,0.0855547404006125,0.07631118716251592,0.04103349290271772,0.038432965292311126,0.0233445349348948,0.0390935691191244,0.06973938403524071,0.13929537516363522,0.2678205725693688,0.9635289515205352,-0.06817263912044906,1.405308640345666,0.0,143.67613233652793,0.104149362946379,-0.23261209681608308,0.10199154109433742,0.09415886964042097,0.13273722395986384,0.14997063382502482,0.14186602234077816,0.08862972826415862,0.04364936930543629,0.03086020097008935,0.0397988733936282,0.02249158262240316,0.0789113397271117,0.07493461485674743
