ID,date,cars,upstream,abs_difference
1001,2005-08-25,690.5165833333333,863.662,173.14541666666673
1001,2005-08-26,341.335375,203.881,137.454375
1001,1998-11-02,272.90325,161.406,111.49725000000001
1003,1998-11-01,1586.59025,2078.453,491.86275
1003,1998-11-03,598.19225,362.455,235.73724999999996
1003,2010-06-09,858.3525833333334,1076.038,217.68541666666658
1006,2007-08-20,1417.3144583333335,1783.958,366.6435416666666
1006,1993-09-26,1032.4246666666666,671.533,360.89166666666654
1006,2007-08-21,490.4704583333332,150.079,340.3914583333332
1007,1998-11-01,1102.019,1464.828,362.80899999999997
1007,2005-08-25,1232.724625,1548.929,316.204375
1007,2005-08-26,615.9142083333334,370.384,245.53020833333335
1017,2017-05-02,1126.7101337333334,638.9119584,487.79817533333335
1017,1993-11-15,1380.8262768,1836.202896,455.37661920000005
1017,1985-11-20,1125.97507665,1477.117555,351.14247835000015
1020,1986-10-03,1368.5274583333337,1602.731,234.2035416666663
1020,1989-06-11,672.1994583333333,839.593,167.3935416666667
1020,1986-10-04,1015.3935,860.831,154.5625
1021,1998-11-03,573.5925,418.381,155.2115
1021,1998-10-31,477.84600000000006,628.633,150.78699999999998
1021,2008-09-12,553.1804583333334,698.009,144.82854166666664
1023,1986-10-03,3995.146583333333,4655.282,660.135416666667
1023,1998-11-01,1942.8865,2532.938,590.0515
1023,1986-10-04,2761.0057500000003,2262.512,498.4937500000001
1026,2015-12-28,3994.9412232,5126.75664,1131.8154167999996
1026,2015-12-30,4391.298552,3312.216096,1079.082456
1026,2017-04-30,4035.3976713333336,4964.218208,928.8205366666666
1027,2007-05-28,56.75145833333334,42.475,14.276458333333338
1027,2007-05-26,48.669333333333334,60.881,12.211666666666666
1027,2007-05-27,100.560125,111.002,10.441874999999996
1028,1985-06-11,46.79316666666665,3.964,42.82916666666665
1028,1985-06-10,167.245875,209.544,42.298125
1028,2004-03-04,130.2575,171.317,41.059500000000014
1032,2007-07-02,2838.7945,3196.117,357.3225000000002
1032,2000-05-09,1283.577041666667,1602.731,319.1539583333331
1032,1985-02-22,1204.87975,1503.622,298.74225
1033,2015-12-30,1199.7332616,556.7366048,642.9966568000001
1033,2015-12-28,2090.57271055,2719.715373,629.14266245
1033,1985-11-21,1000.98472165,537.2829632,463.70175844999994
1036,2017-04-30,4196.5969546666665,5115.146752,918.5497973333331
1036,2015-12-28,3109.4182536,3975.67872,866.2604664
1036,1984-12-22,3068.0120125000003,3881.468726,813.4567134999998
1042,2017-05-02,1913.3354994666663,841.4620288,1071.8734706666664
1042,2017-05-01,5177.2018392499995,5986.454688,809.2528487500003
1042,1985-11-20,2141.5075542500003,2744.011187,602.5036327499997
1048,1987-12-21,5974.84475,7787.12,1812.2752499999997
1048,1987-12-22,2677.3535,974.098,1703.2555000000002
1048,1986-10-06,5479.890416666667,4686.43,793.4604166666668
1051,1986-10-05,1423.0375,1002.415,420.62249999999995
1051,1986-10-04,2708.148208333333,3021.403,313.25479166666673
1051,1985-02-23,1273.548,1512.117,238.56899999999996
1053,1989-03-21,2690.09575,3482.966,792.8702499999999
1053,1989-03-22,1125.5929999999998,339.802,785.7909999999998
1053,1986-10-01,4959.805249999999,5501.954,542.1487500000003
1067,1982-12-04,6608.426120800001,8751.731792,2143.3056712
1067,1982-12-05,2839.8423175999997,869.2124928,1970.6298247999998
1067,2015-12-30,987.47052885,390.2338208,597.2367080500001
1070,1999-05-01,507.30275,624.669,117.36624999999998
1070,1999-05-03,285.044,192.356,92.68799999999999
1070,1996-07-10,222.4,288.18,65.78
1075,1985-11-19,1443.4489999999996,427.584,1015.8649999999996
1075,1982-12-10,1363.4540000000002,382.277,981.1770000000001
1075,1982-12-09,3347.7535,4306.985,959.2314999999999
1078,2015-12-28,9177.77925,10766.925,1589.1457499999997
1078,2002-04-08,4538.192217391304,5571.897,1033.7047826086955
1078,2008-03-19,7575.439708333334,8527.887,952.4472916666664
1084,2015-12-30,602.85759275,347.58872,255.26887274999996
1084,1982-12-04,831.0768426999999,1052.308922,221.2320793
1084,2015-12-29,1161.16577985,1368.664211,207.49843115
1086,2013-09-18,108.52374999999998,59.748,48.77574999999998
1086,2013-09-11,117.2355,156.309,39.073499999999996
1086,2017-10-05,114.0315,148.946,34.914500000000004
1092,1982-12-06,550.9033441000001,125.6133248,425.29001930000015
1092,1982-12-04,1567.0941872,1923.41864,356.3244528
1092,2015-12-29,1567.23577135,1836.372797,269.13702564999994
1093,1990-05-04,1427.756791666667,1115.682,312.0747916666669
1093,2006-11-30,954.27625,1257.266,302.9897500000001
1093,1996-11-07,931.6225,1226.117,294.4945
1095,1992-10-24,12.2865625,-1163.781,1176.0675625
1095,1993-12-01,4.024625,-929.558,933.582625
1095,1995-05-29,6.338439814814815,-859.568,865.9064398148148
1101,2016-03-11,2185.68925,2595.575,409.8857499999999
1101,2016-03-12,1433.87825,1046.646,387.23225
1101,2011-04-29,1485.3675416666667,1118.429,366.93854166666665
