ID,source,wy,valid_days,eligible,negative_inflow
1028,upstream,2013,365,True,0
1028,upstream,2014,365,True,0
1028,upstream,2015,365,True,0
1028,upstream,2016,0,False,0
1028,upstream,2017,0,False,0
1028,upstream,2018,0,False,0
1028,upstream,2019,0,False,0
1032,cars,1980,366,True,0
1032,cars,1981,365,True,0
1032,cars,1982,365,True,0
1032,cars,1983,365,True,0
1032,cars,1984,366,True,0
1032,cars,1985,365,True,0
1032,cars,1986,365,True,0
1032,cars,1987,365,True,0
1032,cars,1988,366,True,0
1032,cars,1989,365,True,0
1032,cars,1990,365,True,0
1032,cars,1991,365,True,0
1032,cars,1992,366,True,0
1032,cars,1993,365,True,0
