ID,case,name,river,period,years,mean_in,mean_out,ratio,zero_in,zero_out,q10_in,q10_out,q90_in,q90_out,in_cv,out_cv
1742,stable,John W. Flannagan Lake,Pound River,early,10,7.514899842892678,7.358915200232488,0.9792432838865158,0.0,0.0,0.9384333333333333,1.4421,15.601033333333334,15.87011666666667,1.6928173640408157,1.4311369758229584
1742,stable,John W. Flannagan Lake,Pound River,late,8,9.179093033882603,9.141091013872344,0.9958599373739886,0.0,0.0,1.5009333333333332,1.538,19.893428260869566,21.491866666666663,1.3618066256319492,1.3308310968584713
1036,stable,Bull Shoals Lake,White,early,10,145.89395072443116,134.4355812793429,0.9214609695042725,0.0,0.0,15.9282,7.645536,318.87690064000003,360.44667096,1.4204034372683798,1.0796203280211205
1036,stable,Bull Shoals Lake,White,late,10,198.54290868371683,186.33335233288278,0.9385041932155626,0.0,0.0,35.00723393333333,32.25354312,431.91980798666674,428.39023685333336,1.542349772578104,0.9508428371590218
1777,stable,Center Hill Lake,Caney Fork River,early,10,87.75213303463106,86.82553571652444,0.9894407430786789,0.0,0.0,3.8944222222222216,14.527,160.90336666666667,206.1201,2.193505341582045,1.158938894171518
1777,stable,Center Hill Lake,Caney Fork River,late,10,118.78320913327222,118.90396589992382,1.0010166147853112,0.0,0.000547645125958379,9.483812499999999,16.097312500000005,263.69312500000007,313.405375,1.605401200632866,1.0300625226148554
1655,stable,Caesar Creek Lake,Caesar Creek,early,10,7.492115138936828,7.342195770301955,0.9799897137384159,0.14919244456611006,0.0002737476047084588,0.0,0.445,16.667050000000003,21.472091666666667,2.3981939111978927,1.7009824268957996
1655,stable,Caesar Creek Lake,Caesar Creek,late,10,8.856064095314062,8.76685454039478,0.9899267265955669,0.10569550930996714,0.0,0.0,0.447,20.26735000000001,25.966733333333334,2.0027819316864015,1.4643284943538704
939,unstable,Hugh Butler Lake,Red Willow Creek,early,8,1.2677020113220052,0.35787148909006494,0.2822993778457949,0.0,0.0,0.113,0.113,0.7961062500000002,1.0277833333333342,7.466531318957695,2.1599551178659593
939,unstable,Hugh Butler Lake,Red Willow Creek,late,8,0.43328652058172623,0.3923501727712509,0.9055212985727906,0.0,0.0,0.057,0.057,0.8066875000000001,0.85,1.334019198874504,2.4543937292014983
938,unstable,Harry Strunk Lake,Medicine Creek,early,10,1.656604549804211,1.3346593781366913,0.8056596115798611,0.0,0.0,0.4530666666666667,0.028,1.8627083333333336,4.931000000000004,3.910193766811718,1.8352612947987932
938,unstable,Harry Strunk Lake,Medicine Creek,late,9,1.6133015865751337,1.588668352601156,0.9847311660888703,0.0,0.0,0.6090583333333334,0.028,3.084,3.9048500000000006,0.7067170683872692,1.0785851921053569
837,unstable,Shadehill,Grand River,early,8,3.937741731896338,3.1400774184196543,0.7974310232142765,0.0,0.0,0.06721249999999997,0.550575,4.9361041666666665,3.6362000000000005,6.625469134504682,4.440678263627318
837,unstable,Shadehill,Grand River,late,8,4.472171148730626,3.9178476615909332,0.8760504755510014,0.0,0.0,0.423625,0.428,9.78375,10.88125,2.5596138524685874,2.007857784540531
893,unstable,Angostura,Cheyenne River,early,10,1.8999397484217835,1.6779454438132293,0.8831571870671386,0.009332967334614329,0.35877024430414495,0.25059166666666666,0.0,2.9681666666666664,5.4791,3.303678079678973,3.411370796105804
893,unstable,Angostura,Cheyenne River,late,9,4.185057379156664,3.819007038543612,0.912533973264946,0.00030674846625766873,0.07208588957055215,0.5094666666666665,0.01,7.12655,6.890375,3.090407601322059,3.3483095780745575
