scenario,task,model,ID,MAIN_BAS,fold,n_train,observed,predicted,group,absolute_error
cars,US,persistence,1017,7060047060,0,45,0.3767102226800422,0.3063632691613325,Common cohort,0.07034695351870968
cars,US,persistence,1026,7060047060,0,45,0.2562551909017682,0.2570394068809823,Common cohort,0.0007842159792141312
cars,US,persistence,1033,7060047060,0,45,0.3421777595752804,0.3247300730084949,Common cohort,0.017447686566785525
cars,US,persistence,1036,7060047060,0,45,0.1994634532561202,0.1993848612521307,Common cohort,7.859200398949162e-05
cars,US,persistence,1042,7060047060,0,45,0.3086252424534333,0.3547932848921897,Common cohort,0.046168042438756385
cars,US,persistence,1067,7060047060,0,45,0.5998478490301629,0.5325281058862181,Common cohort,0.06731974314394473
cars,US,persistence,1092,7060047060,0,45,0.5538973189418028,0.4770320849549008,Common cohort,0.07686523398690204
cars,US,persistence,1101,7060047060,0,45,0.5732890822190375,0.4553180733008327,Common cohort,0.11797100891820483
cars,US,persistence,1112,7060047060,0,45,0.4529900451763571,0.3423355702806719,Common cohort,0.1106544748956852
cars,US,persistence,1121,7060047060,0,45,0.2957368610247056,0.2289161748185658,Common cohort,0.06682068620613979
cars,US,persistence,1122,7060047060,0,45,0.4731408184743925,0.4134959440304958,Common cohort,0.05964487444389671
cars,US,persistence,1125,7060047060,0,45,0.2957368610247056,0.2289161748185658,Common cohort,0.06682068620613979
cars,US,persistence,1127,7060047060,0,45,0.5284257833617235,0.449194919462514,Common cohort,0.07923086389920952
cars,US,persistence,1192,7060047060,0,45,0.1562255166753042,0.1118478499253477,Common cohort,0.04437766674995651
cars,US,persistence,1586,7060047060,0,45,0.100909613549067,0.1312055163674776,Common cohort,0.030295902818410603
cars,US,persistence,1587,7060047060,0,45,0.2531868046723131,0.2604499708928485,Common cohort,0.007263166220535411
cars,US,persistence,1592,7060047060,0,45,0.3257712611764545,0.2053320404390684,Common cohort,0.12043922073738611
cars,US,persistence,1595,7060047060,0,45,0.0973436812701083,0.0344168166620038,Common cohort,0.0629268646081045
cars,US,persistence,1600,7060047060,0,45,0.1485302141903988,0.1296322465659805,Common cohort,0.01889796762441831
cars,US,persistence,1617,7060047060,0,45,0.2468742529710988,0.3014217633642058,Common cohort,0.054547510393106985
cars,US,persistence,1619,7060047060,0,45,0.1324576005360337,0.2243709864026119,Common cohort,0.09191338586657821
cars,US,persistence,1620,7060047060,0,45,0.2603561165968012,0.2867891046920065,Common cohort,0.026432988095205334
cars,US,persistence,1631,7060047060,0,45,0.1154370030213878,0.1823700448782095,Common cohort,0.06693304185682168
cars,US,persistence,1634,7060047060,0,45,0.1613390101012365,0.1334271125463301,Common cohort,0.02791189755490639
cars,US,persistence,1636,7060047060,0,45,0.3431055207314705,0.4339507826290103,Common cohort,0.09084526189753983
cars,US,persistence,1645,7060047060,0,45,0.4370375957767412,0.4050064601627717,Common cohort,0.032031135613969475
cars,US,persistence,1650,7060047060,0,45,0.1593551742941747,0.2403622698406082,Common cohort,0.08100709554643351
cars,US,persistence,1654,7060047060,0,45,0.4218435553220695,0.4150193065416226,Common cohort,0.0068242487804469065
cars,US,persistence,1655,7060047060,0,45,0.2436515966980656,0.2431128891410848,Common cohort,0.0005387075569807942
cars,US,persistence,1656,7060047060,0,45,0.1692126379774312,0.1324623247313574,Common cohort,0.03675031324607378
cars,US,persistence,1683,7060047060,0,45,0.3901169448841023,0.3168403195477491,Common cohort,0.07327662533635321
cars,US,persistence,1691,7060047060,0,45,0.0912916747962116,0.1411589423780079,Common cohort,0.04986726758179631
cars,US,persistence,1699,7060047060,0,45,0.0864253429344667,0.0826995106355747,Common cohort,0.0037258322988920067
cars,US,persistence,1703,7060047060,0,45,0.6719276083841421,0.5453170994179828,Common cohort,0.12661050896615933
cars,US,persistence,1706,7060047060,0,45,0.1311194154359323,0.1263820860259669,Common cohort,0.004737329409965407
cars,US,persistence,1707,7060047060,0,45,0.2045568451524834,0.2433361441672575,Common cohort,0.03877929901477409
cars,US,persistence,1709,7060047060,0,45,0.0752617263628176,0.059101408016303,Common cohort,0.016160318346514595
cars,US,persistence,1712,7060047060,0,45,0.0871922360578064,0.1147606502352691,Common cohort,0.027568414177462697
cars,US,persistence,1713,7060047060,0,45,0.1800055011506023,0.24864642535655,Common cohort,0.0686409242059477
cars,US,persistence,1714,7060047060,0,45,0.2897810133158173,0.3481205054128808,Common cohort,0.05833949209706352
cars,US,persistence,1718,7060047060,0,45,0.394739557462232,0.4286073075539841,Common cohort,0.03386775009175208
cars,US,persistence,1723,7060047060,0,45,0.1521229922142395,0.1701228990543999,Common cohort,0.017999906840160396
cars,US,persistence,1726,7060047060,0,45,0.090035224085207,0.1100331933153662,Common cohort,0.0199979692301592
cars,US,persistence,1735,7060047060,0,45,0.0588370779996264,0.0681806665333775,Common cohort,0.009343588533751099
cars,US,persistence,1739,7060047060,0,45,0.2695208573168531,0.2778201615933636,Common cohort,0.008299304276510489
cars,US,persistence,1740,7060047060,0,45,0.1589239050565217,0.1319573906882313,Common cohort,0.026966514368290395
cars,US,persistence,1741,7060047060,0,45,0.3146143807409897,0.2731331402455893,Common cohort,0.04148124049540036
cars,US,persistence,1742,7060047060,0,45,0.0713793616962637,0.0714487556247962,Common cohort,6.939392853250181e-05
cars,US,persistence,1744,7060047060,0,45,0.2132428018625382,0.1851406018086097,Common cohort,0.028102200053928494
cars,US,persistence,1752,7060047060,0,45,0.0273242810948098,0.0354598056418938,Common cohort,0.008135524547083998
cars,US,persistence,1753,7060047060,0,45,0.0338436018705593,0.1156231835391903,Common cohort,0.081779581668631
cars,US,persistence,1754,7060047060,0,45,0.0936180715321968,0.1805723168800919,CARS-only,0.0869542453478951
