source,ID,period,MAIN_BAS,flagged,early_start,early_end,late_start,late_end,early_nyears,late_nyears,mean_shift,season_shift,abs_shape_change,early_shape,early_ratio,early_low10,early_cv,early_zero_delta,early_mean_in,early_concentration,early_trend,early_month1,early_month2,early_month3,early_month4,early_month5,early_month6,early_month7,early_month8,early_month9,early_month10,early_month11,early_month12,late_shape,late_ratio,late_low10,late_cv,late_zero_delta,late_mean_in,late_concentration,late_trend,late_month1,late_month2,late_month3,late_month4,late_month5,late_month6,late_month7,late_month8,late_month9,late_month10,late_month11,late_month12,feature_last_date,annual_shape_usable_years,annual_shape_sd,annual_shape_trend_abs,paired_invalid_fraction,negative_inflow_fraction,missing_inflow_fraction
cars,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.3035798920004851,0.2348050574960337,0.0859488165921406,0.213492722042096,0.572851244440706,0.0,3.579335628581791,-0.1087671232876712,3.588237378509033,0.1104133639575773,0.3932828150699698,0.0349924734974015,0.0704342842590487,0.1446805099372617,0.1711750187804933,0.1404760474121793,0.1101836531517338,0.0426408211018162,0.0524117750785771,0.0366431484873296,0.1126878291953838,0.0392486699358408,0.0444257691629335,0.2994415386342366,0.7572490798431898,0.0292121893186201,3.798523600890878,-0.401697699890471,4.860984517496864,0.1296796221175664,0.3619415152206642,0.0205006074200914,0.0461520640472545,0.090301699167178,0.1426166209455653,0.1891570665601596,0.2029085144907477,0.0564364689426602,0.0404856670690557,0.0222310413122892,0.0259322817780279,0.1160080218765887,0.0472699463903811,1989-09-30,10,0.17528863310799603,0.044127945098563486,0.0035587188612099642,0.0,0.0032849712565015056
raw,1001,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.3023592475725824,0.2328922503219166,0.0999435028021225,0.2452595850117209,0.5728665516056787,0.0,3.913202225822618,-0.1307692307692307,3.5930936813186816,0.1102178040408741,0.3961697522422893,0.0357042558981244,0.072840287850754,0.1434956759613853,0.1703559660126367,0.1429697127295718,0.1075404807803982,0.0423041425396294,0.0527769964066442,0.0369178936912014,0.1124364728702293,0.0378852562161185,0.0447728590433066,0.3452030878138434,0.7571921979226182,0.0292083383648773,4.135353381732913,-0.4397590361445783,4.861625410733845,0.1294614941859765,0.362188174581556,0.0208946318081296,0.0457672060782253,0.0902718700942445,0.1433596911142632,0.1893231837327628,0.2029598320575741,0.0555385584491189,0.0403590472268232,0.0227115636596958,0.028271288387677,0.114019049425683,0.0465240779658023,1989-09-30,10,0.17673546957264463,0.04543277688672565,0.0035587188612099642,0.0,0.0032849712565015056
cars,1003,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.0264684971808301,0.1790047968356784,0.0333442693770523,0.4312350447711744,0.9863783381343948,0.0037978029965581,3.292402688188013,-0.0216260607719682,15.008677398921671,0.1058273019267975,0.3666886342569876,0.0340810462752199,0.0851658247622092,0.1337422085497799,0.1492959655270022,0.1356966714822,0.1258583419934459,0.0154620335092474,0.0611115038718193,0.0397604796833072,0.1027683910434255,0.0612885269328235,0.0557690063695195,0.3978907753941221,0.9657489691380512,0.003595860657616,3.671290774610064,-0.082420591456736,15.411238627752114,0.1114205339413811,0.1836589403357946,0.0319386082476926,0.0578543505210428,0.10608031617401,0.1444107478715702,0.172172787489001,0.108048135512797,0.0580301354525639,0.0243375808653472,0.0321687498149976,0.0479404758630734,0.1458360221371646,0.0711820900507394,1989-09-30,10,0.09210601595997168,0.017275087625934812,0.0008212428141253764,0.0,0.0008212428141253764
raw,1003,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.0258708775325904,0.1735093706449538,0.0414570008369281,0.4774643312275672,0.9861622784263714,0.0037951372334757,3.570414960206862,-0.0235616438356164,15.019219726027398,0.105660202664616,0.3658062677747822,0.034208040867891,0.0864596106920681,0.1328442868965412,0.1486214047710046,0.13967387394329,0.1218158424661062,0.0151957075930763,0.0616895772197056,0.0402545399728187,0.101787076402123,0.0615644772382243,0.0558855619371504,0.4360073303906391,0.9660557626344412,0.0055148788382433,3.964799140225918,-0.0941949616648411,15.412849945235488,0.1114533023557359,0.183879884577454,0.0321314621190608,0.0579508023489596,0.1064282964130298,0.1457043176445139,0.1714227122473303,0.1071271165892501,0.0580083459755206,0.0239978774769519,0.0334515722503491,0.0473795638011894,0.1464425957999228,0.0699553373339211,1989-09-30,10,0.09403207493799347,0.01951681419848662,0.0008212428141253764,0.0,0.0008212428141253764
cars,1006,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.1032609058501981,0.1789208593086703,0.0686247926029917,0.5012735670465238,0.9014397634809794,-0.048840948558481,2.146493076321936,0.0002737476047084,34.7863841744526,0.1045674571618037,0.3717491462529604,0.068471227110697,0.1057648047459939,0.1456131816343494,0.1449007581944476,0.0802410043580402,0.0656461330197495,0.0300113177558191,0.028363227588115,0.0261503431421337,0.0630303919950164,0.1122953944082225,0.1295122160474155,0.432648774443532,0.917394424756589,-0.0624052546565251,2.1213441714161885,0.0,38.57046995878772,0.1031697829664185,-0.1847123377601681,0.0766106528828782,0.0721940257848428,0.1208155510452906,0.1331819962739111,0.1735962063091155,0.0873333449339185,0.0459933283500548,0.0188707870509056,0.0659073522191428,0.0444386992450492,0.0913016175763918,0.0697564383284985,1989-09-30,10,0.11069768619505567,0.02187117289648275,0.0,0.0,0.0
raw,1006,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.1031347697259078,0.178044237339104,0.0760981149145295,0.5610128012044433,0.9014118440718742,-0.0488329482684986,2.316097876428755,0.0010949904188338,34.79208321927183,0.1046011315831399,0.3717829104620693,0.0681918192527381,0.1057497088016033,0.1465172876328883,0.1441623573080648,0.0795439145436171,0.0655998702707602,0.0302628543517047,0.0279336369790648,0.0269901494529939,0.0625031669104204,0.1128467511197093,0.1296984833764348,0.4849146862899137,0.9174135892589784,-0.0587214689980732,2.2550236291986283,-0.0002738225629791,38.57192332968236,0.1031482687174936,-0.1847975538545575,0.0769489997860641,0.0722430644494349,0.1207454198733615,0.1339867108191164,0.1730039834546441,0.0868176564138185,0.0458749186382186,0.0188643405985762,0.0659872869181727,0.0443927016359475,0.0915411689052124,0.0695937485074326,1989-09-30,10,0.09744964110178798,0.018864358562521364,0.0,0.0,0.0
cars,1007,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.1012363802221713,0.1799486533366437,0.0033702272039229,0.4128816954343137,0.9792224413395028,0.0048367731818224,3.394571158014988,-0.0186148371201752,10.535605333912564,0.1127730854335131,0.3654310620084692,0.0377376677163914,0.0903769441072559,0.1436526438625422,0.1731421180092142,0.1436773462048166,0.1155059168465672,0.0207584163459798,0.0305124832297043,0.0359180923400081,0.0998538769319321,0.0503504928358912,0.0585140015696965,0.4095114682303907,0.9638037299089864,0.0048035479714593,3.44507563388024,-0.0774917853231106,11.658049494400528,0.1158087122599354,0.283416625615017,0.0361086469875629,0.0539979771158255,0.1145934340184372,0.1427400367338031,0.1662232335875179,0.1454262940738368,0.0422962001113121,0.0294124986412947,0.0215415338413011,0.03285104552218,0.1393027131343879,0.0755063862325403,1989-09-30,10,0.12734150598961264,0.010857589145726647,0.0,0.0,0.0
raw,1007,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.101195722712309,0.1780306825208907,0.0087641058677139,0.4574305917039498,0.9789574934852988,0.0054092757853095,3.735589818940708,-0.0199835751437174,10.537454968519029,0.1126574320545569,0.3655236925699608,0.037510713221615,0.0926490809847723,0.142567920155919,0.172199734483822,0.1475268840780516,0.1114182321957499,0.0204813702365992,0.0307409937042847,0.0366162983642643,0.0989605911653821,0.050469506101097,0.0588586753084424,0.4486664858362359,0.9640009591145708,0.0072901161881348,3.781110725606949,-0.0876232201533406,11.65962212486309,0.1159510980664379,0.2837190761816852,0.0364994525719723,0.0538568664759397,0.1147666538127152,0.1441313413935906,0.1654332901058549,0.1449958831345668,0.0415977899971207,0.0292849335876568,0.0219697827243832,0.0327056189929109,0.1403960316517202,0.0743623555515683,1989-09-30,10,0.12706786014259616,0.013050215820570601,0.0,0.0,0.0
cars,1017,train,7060047060.0,False,1980,1989,1990,1999,10,10,0.0731115267012451,0.1465821377019887,0.0737201061130532,0.3606118019797683,0.9908748197156512,-0.0506610134681603,2.141879787126787,0.0046537092800438,27.393040097895348,0.1015491196427516,0.2153384659784099,0.0746493046342966,0.1055497667991018,0.0961019456108242,0.1241567895232722,0.1044727014159889,0.0770301369914523,0.0341428949521585,0.0384565448931413,0.0309742017861542,0.0418508746976293,0.1160317829912861,0.1565830557046941,0.286891695866715,0.9924843437302984,-0.0102089469328494,1.7789201090995068,0.0,29.470816331888248,0.1058999443418628,0.009404329317049,0.1006086096464754,0.0808961532903108,0.1156582720585018,0.168033351621012,0.1474698422602029,0.0684795761217192,0.0463296605105834,0.0309879568358687,0.0329802395279078,0.0313593153654021,0.1010006947741522,0.0761963279878632,1989-09-30,10,0.2031211250915218,0.002011456415249744,0.0,0.0,0.0
cars,1017,test,7060047060.0,False,2000,2009,2010,2019,10,10,0.2417788682706159,0.0893696003827164,0.0703469535187096,0.3063632691613325,0.9922848092369912,-0.0158079091134677,2.2306606206254185,0.0,24.48117988842435,0.1125031076862521,0.2414487875196399,0.0802122384170677,0.0983127339501899,0.1529434190055534,0.1413035198928297,0.1786420886153126,0.0662822791001497,0.0356189060525185,0.0270486145578145,0.0341830083971722,0.0274653051019286,0.0660371099585661,0.0919507769508962,0.3767102226800422,0.9876262748847598,-0.0023538985585335,2.4312780824503624,0.0,31.177089769061546,0.1104351402752092,0.2682665491913383,0.0708576994900772,0.072947224558224,0.1101212126768209,0.1698499780751085,0.1886767707511946,0.0659932911002597,0.0479897822034494,0.0505190109429126,0.0305027738272232,0.0424124926304553,0.0626271787734805,0.0875025849707935,2009-09-30,10,0.19246618869529905,0.011248883511334575,0.0,0.0,0.0
