source,fold,model,feature,standardized_coefficient
raw,1,quality,missing_inflow_fraction,-0.3162081197945798
raw,1,combined,early_shape,-0.31789686715408433
raw,1,combined,annual_shape_sd,0.45850481417490785
raw,1,combined,annual_shape_trend_abs,0.14211238287264383
raw,1,combined,early_cv,0.23945657404478202
raw,1,combined,early_concentration,0.2296793393508622
raw,1,combined,paired_invalid_fraction,0.24690197951664714
raw,1,combined,negative_inflow_fraction,-0.3016769601101153
raw,1,combined,missing_inflow_fraction,-0.16316962612882688
raw,2,hydrology,early_shape,-0.11240102325958715
raw,2,hydrology,annual_shape_sd,0.40760191958297826
raw,2,hydrology,annual_shape_trend_abs,0.2619386876103364
raw,2,hydrology,early_cv,0.05448012067879632
raw,2,hydrology,early_concentration,0.31383272032164017
raw,2,quality,paired_invalid_fraction,0.5128114533377021
raw,2,quality,negative_inflow_fraction,-0.3966488719751485
raw,2,quality,missing_inflow_fraction,-0.3180487196685626
raw,2,combined,early_shape,-0.12134888668578855
raw,2,combined,annual_shape_sd,0.3941616832732774
raw,2,combined,annual_shape_trend_abs,0.23288355574587166
raw,2,combined,early_cv,0.04860226564123963
raw,2,combined,early_concentration,0.3734189553964287
raw,2,combined,paired_invalid_fraction,0.09736325863963663
raw,2,combined,negative_inflow_fraction,-0.2784894877515756
raw,2,combined,missing_inflow_fraction,-0.04594768276830838
raw,3,hydrology,early_shape,0.006908060225228409
raw,3,hydrology,annual_shape_sd,0.5219403507097256
raw,3,hydrology,annual_shape_trend_abs,0.2520340228594856
raw,3,hydrology,early_cv,-0.05480762669144718
raw,3,hydrology,early_concentration,0.30766019912993137
raw,3,quality,paired_invalid_fraction,0.5105835909335288
raw,3,quality,negative_inflow_fraction,-0.4788441203133762
raw,3,quality,missing_inflow_fraction,-0.7959594659794987
raw,3,combined,early_shape,-0.08039410818127218
raw,3,combined,annual_shape_sd,0.5333369012959839
raw,3,combined,annual_shape_trend_abs,0.3121627695622321
raw,3,combined,early_cv,-0.0360768622905105
raw,3,combined,early_concentration,0.3625996621025116
raw,3,combined,paired_invalid_fraction,0.21304916194917248
raw,3,combined,negative_inflow_fraction,-0.3546760334707052
raw,3,combined,missing_inflow_fraction,-0.7183973119458464
raw,4,hydrology,early_shape,-0.044343769079461234
raw,4,hydrology,annual_shape_sd,0.4259131860994889
raw,4,hydrology,annual_shape_trend_abs,0.3217872087394448
raw,4,hydrology,early_cv,0.004861054528882247
raw,4,hydrology,early_concentration,0.2578805709706184
raw,4,quality,paired_invalid_fraction,0.5242847464567038
raw,4,quality,negative_inflow_fraction,-0.27898384902364154
raw,4,quality,missing_inflow_fraction,-0.3112112168401351
raw,4,combined,early_shape,-0.04687951329926847
raw,4,combined,annual_shape_sd,0.4281993499398298
raw,4,combined,annual_shape_trend_abs,0.2904633187061162
raw,4,combined,early_cv,-0.0021510643904571578
raw,4,combined,early_concentration,0.29508335914674155
raw,4,combined,paired_invalid_fraction,0.07800046621149194
raw,4,combined,negative_inflow_fraction,-0.15829972805022907
raw,4,combined,missing_inflow_fraction,0.008141033854288212
