source,model,n,groups,events,event_rate,brier,brier_difference,difference_low,difference_high,auc,average_precision,risk_error_spearman,top20_event_rate,top20_lift
cars,combined,153,18,36,0.23529411764705882,0.19814038749805052,0.016631158639014737,-0.04778256466942958,0.032300547061033004,0.5163817663817664,0.28091312577817446,-0.024434455849610404,0.3548387096774194,1.5080645161290323
cars,hydrology,153,18,36,0.23529411764705882,0.18522560668556054,0.0037163778265247556,-0.05083909255903968,0.0150037681347147,0.5301519468186134,0.323511431186731,-0.0553473512446746,0.3225806451612903,1.3709677419354838
cars,prevalence,153,18,36,0.23529411764705882,0.18150922885903573,0.0,0.0,0.0,0.3929249762583096,0.20127800701219184,-0.1269285570194089,0.2903225806451613,1.2338709677419355
cars,quality,153,18,36,0.23529411764705882,0.196762055858272,0.01525282699923624,-0.003333379092292102,0.03928148265169608,0.4408831908831909,0.2079664320412204,-0.07776507752735769,0.16129032258064516,0.6854838709677419
raw,combined,153,18,36,0.23529411764705882,0.1958694247021918,0.014901372709346059,-0.0490044003654331,0.03441324909549365,0.5401234567901234,0.30198577942983706,-0.022201299375776928,0.3870967741935484,1.6451612903225805
raw,hydrology,153,18,36,0.23529411764705882,0.18518175755511074,0.004213705562264993,-0.05658656666680314,0.016484994176799318,0.5052231718898386,0.30713588825383864,-0.07238709201845529,0.3548387096774194,1.5080645161290323
raw,prevalence,153,18,36,0.23529411764705882,0.1809680519928457,0.0,0.0,0.0,0.4490740740740741,0.2200397663854814,-0.148751682098899,0.2903225806451613,1.2338709677419355
raw,quality,153,18,36,0.23529411764705882,0.19467796765712755,0.013709915664281822,-0.0074181904286508065,0.04067582913508926,0.457977207977208,0.21440260468657776,-0.1180806366014232,0.16129032258064516,0.6854838709677419
