date,upstream_inflow,upstream_negative,upstream_missing,filtered_inflow,missing_run_length,linear_inflow,filled_in_linear_step,partially_filled_long_gap,utc_replay_inflow,utc_step_new_finite_on_date_label,CARS_inflow
1975-03-13,0.38,False,False,0.38,0,0.38,False,False,0.5104166666666667,False,0.5104166666666667
1975-03-14,1.011,False,False,1.011,0,1.011,False,False,0.8795416666666667,False,0.8795416666666667
1975-03-15,0.591,False,False,0.591,0,0.591,False,False,0.6785,False,0.6784999999999999
1975-03-16,1.011,False,False,1.011,0,1.011,False,False,0.9235,False,0.9235
1975-03-17,0.801,False,False,0.801,0,0.801,False,False,0.84475,False,0.84475
1975-03-18,1.011,False,False,1.011,0,1.011,False,False,0.96725,False,0.96725
1975-03-19,1.011,False,False,1.011,0,1.011,False,False,1.011,False,1.011
1975-03-20,1.006,False,False,1.006,0,1.006,False,False,1.0070416666666666,False,1.0070416666666666
1975-03-21,1.432,False,False,1.432,0,1.432,False,False,1.34325,False,1.3432499999999998
1975-03-22,0.801,False,False,0.801,0,0.801,False,False,0.9324583333333332,False,0.9324583333333334
1975-03-23,1.901,False,False,1.901,0,1.901,False,False,1.6718333333333335,False,1.6718333333333333
1975-03-24,0.825,False,False,0.825,0,0.825,False,False,1.0491666666666666,False,1.0491666666666668
1975-03-25,-0.048,True,False,,1,0.4975,True,False,0.5657291666666666,False,0.5657291666666666
1975-03-26,0.17,False,False,0.17,0,0.17,False,False,0.2382291666666667,False,0.2382291666666666
1975-03-27,1.475,False,False,1.475,0,1.475,False,False,1.203125,False,1.203125
1975-03-28,1.508,False,False,1.508,0,1.508,False,False,1.501125,False,1.501125
1975-03-29,0.198,False,False,0.198,0,0.198,False,False,0.4709166666666667,False,0.4709166666666666
1975-03-30,0.635,False,False,0.635,0,0.635,False,False,0.5439583333333333,False,0.5439583333333333
1975-03-31,0.635,False,False,0.635,0,0.635,False,False,0.635,False,0.635
1975-04-01,0.635,False,False,0.635,0,0.635,False,False,0.635,False,0.635
1975-04-02,0.797,False,False,0.797,0,0.797,False,False,0.76325,False,0.76325
1975-04-03,0.36,False,False,0.36,0,0.36,False,False,0.4510416666666667,False,0.4510416666666667
1975-04-04,0.797,False,False,0.797,0,0.797,False,False,0.7059583333333334,False,0.7059583333333334
1975-04-05,0.987,False,False,0.987,0,0.987,False,False,0.9474166666666668,False,0.9474166666666668
1975-04-06,0.545,False,False,0.545,0,0.545,False,False,0.6370833333333333,False,0.6370833333333334
1975-04-07,1.015,False,False,1.015,0,1.015,False,False,0.9170833333333333,False,0.9170833333333333
1975-04-08,2.572,False,False,2.572,0,2.572,False,False,2.247625,False,2.247625
1975-04-09,0.578,False,False,0.578,0,0.578,False,False,0.9934166666666666,False,0.9934166666666666
1975-04-10,0.797,False,False,0.797,0,0.797,False,False,0.751375,False,0.751375
1975-04-11,1.01,False,False,1.01,0,1.01,False,False,0.965625,False,0.965625
1975-04-12,1.015,False,False,1.015,0,1.015,False,False,1.0139583333333333,False,1.0139583333333333
1975-04-13,0.797,False,False,0.797,0,0.797,False,False,0.8424166666666667,False,0.8424166666666667
1975-04-14,2.135,False,False,2.135,0,2.135,False,False,1.8562499999999995,False,1.8562499999999995
1975-04-15,0.797,False,False,0.797,0,0.797,False,False,1.07575,False,1.07575
1975-04-16,0.797,False,False,0.797,0,0.797,False,False,0.797,False,0.797
1975-04-17,1.228,False,False,1.228,0,1.228,False,False,1.1382083333333333,False,1.1382083333333333
1975-04-18,2.353,False,False,2.353,0,2.353,False,False,2.118625,False,2.118625
1975-04-19,0.17,False,False,0.17,0,0.17,False,False,0.6247916666666667,False,0.6247916666666666
1975-04-20,0.62,False,False,0.62,0,0.62,False,False,0.52625,False,0.52625
1975-04-21,0.846,False,False,0.846,0,0.846,False,False,0.7989166666666666,False,0.7989166666666666
1975-04-22,0.395,False,False,0.395,0,0.395,False,False,0.4889583333333333,False,0.4889583333333333
1975-04-23,1.966,False,False,1.966,0,1.966,False,False,1.6387083333333334,False,1.6387083333333334
1975-04-24,0.592,False,False,0.592,0,0.592,False,False,0.87825,False,0.87825
1975-04-25,0.592,False,False,0.592,0,0.592,False,False,0.592,False,0.592
1975-04-26,1.268,False,False,1.268,0,1.268,False,False,1.1271666666666669,False,1.1271666666666669
1975-04-27,0.62,False,False,0.62,0,0.62,False,False,0.755,False,0.755
1975-04-28,1.521,False,False,1.521,0,1.521,False,False,1.3332916666666663,False,1.3332916666666663
1975-04-29,-0.309,True,False,,2,1.1363333333333332,True,False,1.2164722222222222,False,1.216472222222222
1975-04-30,-0.309,True,False,,2,0.7516666666666666,True,False,0.8318055555555555,False,0.8318055555555555
1975-05-01,0.367,False,False,0.367,0,0.367,False,False,0.4471388888888888,False,0.4471388888888888
1975-05-02,0.142,False,False,0.142,0,0.142,False,False,0.188875,False,0.188875
1975-05-03,0.817,False,False,0.817,0,0.817,False,False,0.676375,False,0.6763750000000001
1975-05-04,0.142,False,False,0.142,0,0.142,False,False,0.2826249999999999,False,0.2826249999999999
1975-05-05,0.395,False,False,0.395,0,0.395,False,False,0.3422916666666666,False,0.3422916666666666
1975-05-06,0.17,False,False,0.17,0,0.17,False,False,0.216875,False,0.216875
1975-05-07,-0.055,True,False,,1,0.254,True,False,0.2365,False,0.2365
1975-05-08,0.338,False,False,0.338,0,0.338,False,False,0.3205,False,0.3205
1975-05-09,0.142,False,False,0.142,0,0.142,False,False,0.1828333333333333,False,0.1828333333333333
1975-05-10,0.142,False,False,0.142,0,0.142,False,False,0.142,False,0.142
1975-05-11,0.142,False,False,0.142,0,0.142,False,False,0.142,False,0.142
1975-05-12,-0.084,True,False,,1,1.406,True,False,1.1426666666666665,False,1.1426666666666665
1975-05-13,2.67,False,False,2.67,0,2.67,False,False,2.4066666666666663,False,2.4066666666666663
1975-05-14,0.395,False,False,0.395,0,0.395,False,False,0.8689583333333333,False,0.8689583333333333
1975-05-15,0.62,False,False,0.62,0,0.62,False,False,0.573125,False,0.573125
1975-05-16,0.846,False,False,0.846,0,0.846,False,False,0.7989166666666666,False,0.7989166666666666
1975-05-17,1.071,False,False,1.071,0,1.071,False,False,1.024125,False,1.024125
1975-05-18,1.071,False,False,1.071,0,1.071,False,False,1.071,False,1.071
1975-05-19,0.62,False,False,0.62,0,0.62,False,False,0.7139583333333334,False,0.7139583333333333
1975-05-20,0.17,False,False,0.17,0,0.17,False,False,0.26375,False,0.26375
1975-05-21,-0.281,True,False,,1,0.6224999999999999,True,False,0.5282291666666666,False,0.5282291666666666
1975-05-22,1.075,False,False,1.075,0,1.075,False,False,0.9807291666666668,False,0.9807291666666668
1975-05-23,0.6,False,False,0.6,0,0.6,False,False,0.6989583333333333,False,0.6989583333333333
1975-05-24,0.317,False,False,0.317,0,0.317,False,False,0.3759583333333333,False,0.3759583333333333
1975-05-25,0.317,False,False,0.317,0,0.317,False,False,0.317,False,0.317
1975-05-26,-0.134,True,False,,1,0.207,True,False,0.2299166666666666,False,0.2299166666666666
1975-05-27,0.097,False,False,0.097,0,0.097,False,False,0.1199166666666666,False,0.1199166666666666
1975-05-28,0.315,False,False,0.315,0,0.315,False,False,0.2695833333333333,False,0.2695833333333333
1975-05-29,1.216,False,False,1.216,0,1.216,False,False,1.0282916666666666,False,1.0282916666666666
1975-05-30,0.991,False,False,0.991,0,0.991,False,False,1.037875,False,1.037875
1975-05-31,0.512,False,False,0.512,0,0.512,False,False,0.6117916666666667,False,0.6117916666666667
1975-06-01,0.906,False,False,0.906,0,0.906,False,False,0.8239166666666667,False,0.8239166666666666
1975-06-02,1.16,False,False,1.16,0,1.16,False,False,1.1070833333333332,False,1.1070833333333332
1975-06-03,0.709,False,False,0.709,0,0.709,False,False,0.8029583333333333,False,0.8029583333333332
1975-06-04,0.68,False,False,0.68,0,0.68,False,False,0.6860416666666667,False,0.6860416666666667
1975-06-05,0.68,False,False,0.68,0,0.68,False,False,0.68,False,0.68
1975-06-06,0.229,False,False,0.229,0,0.229,False,False,0.3229583333333333,False,0.3229583333333333
1975-06-07,0.566,False,False,0.566,0,0.566,False,False,0.4957916666666667,False,0.4957916666666666
1975-06-08,6.866,False,False,6.866,0,6.866,False,False,5.5535,False,5.5535
1975-06-09,11.49,False,False,11.49,0,11.49,False,False,10.526666666666667,False,10.526666666666667
1975-06-10,3.401,False,False,3.401,0,3.401,False,False,5.086208333333333,False,5.086208333333333
1975-06-11,3.378,False,False,3.378,0,3.378,False,False,3.382791666666667,False,3.382791666666667
1975-06-12,2.217,False,False,2.217,0,2.217,False,False,2.458875,False,2.458875
1975-06-13,1.529,False,False,1.529,0,1.529,False,False,1.6723333333333332,False,1.6723333333333334
1975-06-14,1.065,False,False,1.065,0,1.065,False,False,1.1616666666666666,False,1.1616666666666666
1975-06-15,0.373,False,False,0.373,0,0.373,False,False,0.5171666666666667,False,0.5171666666666667
1975-06-16,0.373,False,False,0.373,0,0.373,False,False,0.373,False,0.373
1975-06-17,0.17,False,False,0.17,0,0.17,False,False,0.2122916666666666,False,0.2122916666666666
1975-06-18,3.007,False,False,3.007,0,3.007,False,False,2.4159583333333337,False,2.415958333333333
1975-06-19,1.915,False,False,1.915,0,1.915,False,False,2.1425,False,2.1425
1975-06-20,1.222,False,False,1.222,0,1.222,False,False,1.366375,False,1.366375
1975-06-21,3.07,False,False,3.07,0,3.07,False,False,2.685,False,2.6849999999999996
1975-06-22,9.881,False,False,9.881,0,9.881,False,False,8.462041666666666,False,8.462041666666666
1975-06-23,1.436,False,False,1.436,0,1.436,False,False,3.1953749999999994,False,3.1953749999999994
1975-06-24,1.673,False,False,1.673,0,1.673,False,False,1.623625,False,1.623625
1975-06-25,1.238,False,False,1.238,0,1.238,False,False,1.328625,False,1.328625
1975-06-26,1.683,False,False,1.683,0,1.683,False,False,1.5902916666666669,False,1.5902916666666669
1975-06-27,0.055,False,False,0.055,0,0.055,False,False,0.3941666666666665,False,0.3941666666666665
1975-06-28,0.055,False,False,0.055,0,0.055,False,False,0.055,False,0.055
1975-06-29,0.765,False,False,0.765,0,0.765,False,False,0.6170833333333333,False,0.6170833333333334
1975-06-30,0.528,False,False,0.528,0,0.528,False,False,0.5773750000000001,False,0.577375
1975-07-01,0.129,False,False,0.129,0,0.129,False,False,0.2121249999999999,False,0.212125
1975-07-02,0.076,False,False,0.076,0,0.076,False,False,0.0870416666666666,False,0.0870416666666666
1975-07-03,-0.166,True,False,,1,0.0545,True,False,0.0589791666666666,False,0.0589791666666666
1975-07-04,0.033,False,False,0.033,0,0.033,False,False,0.0374791666666666,False,0.0374791666666666
1975-07-05,0.056,False,False,0.056,0,0.056,False,False,0.0512083333333333,False,0.0512083333333333
1975-07-06,0.495,False,False,0.495,0,0.495,False,False,0.4035416666666667,False,0.4035416666666667
1975-07-07,-0.388,True,False,,2,0.5943333333333334,True,False,0.5736388888888889,False,0.5736388888888889
1975-07-08,-0.617,True,False,,2,0.6936666666666667,True,False,0.6729722222222222,False,0.6729722222222222
1975-07-09,0.793,False,False,0.793,0,0.793,False,False,0.7723055555555556,False,0.7723055555555556
1975-07-10,3.139,False,False,3.139,0,3.139,False,False,2.65025,False,2.65025
1975-07-11,-0.108,True,False,,1,1.6395,True,False,1.9518958333333336,False,1.9518958333333336
1975-07-12,0.14,False,False,0.14,0,0.14,False,False,0.4523958333333335,False,0.4523958333333335
1975-07-13,0.245,False,False,0.245,0,0.245,False,False,0.223125,False,0.223125
1975-07-14,0.025,False,False,0.025,0,0.025,False,False,0.0708333333333333,False,0.0708333333333333
1975-07-15,1.061,False,False,1.061,0,1.061,False,False,0.8451666666666666,False,0.8451666666666667
1975-07-16,0.137,False,False,0.137,0,0.137,False,False,0.3295,False,0.3295
1975-07-17,0.132,False,False,0.132,0,0.132,False,False,0.1330416666666666,False,0.1330416666666666
1975-07-18,0.391,False,False,0.391,0,0.391,False,False,0.3370416666666667,False,0.3370416666666667
1975-07-19,0.233,False,False,0.233,0,0.233,False,False,0.2659166666666667,False,0.2659166666666667
1975-07-20,0.418,False,False,0.418,0,0.418,False,False,0.3794583333333333,False,0.3794583333333333
1975-07-21,-0.26,True,False,,2,0.5599999999999999,True,False,0.5304166666666666,False,0.5304166666666666
1975-07-22,-0.209,True,False,,2,0.702,True,False,0.6724166666666667,False,0.6724166666666667
1975-07-23,0.844,False,False,0.844,0,0.844,False,False,0.8144166666666667,False,0.8144166666666667
1975-07-24,0.377,False,False,0.377,0,0.377,False,False,0.4742916666666666,False,0.4742916666666666
1975-07-25,-0.21,True,False,,2,0.2799999999999999,True,False,0.3002083333333333,False,0.3002083333333333
1975-07-26,-0.136,True,False,,2,0.1829999999999999,True,False,0.2032083333333333,False,0.2032083333333333
1975-07-27,0.086,False,False,0.086,0,0.086,False,False,0.1062083333333333,False,0.1062083333333333
1975-07-28,0.263,False,False,0.263,0,0.263,False,False,0.226125,False,0.226125
1975-07-29,-0.108,True,False,,2,0.2883333333333333,True,False,0.2830555555555555,False,0.2830555555555555
1975-07-30,-0.286,True,False,,2,0.3136666666666667,True,False,0.3083888888888889,False,0.3083888888888889
1975-07-31,0.339,False,False,0.339,0,0.339,False,False,0.3337222222222222,False,0.3337222222222222
1975-08-01,8.491,False,False,8.491,0,8.491,False,False,6.7926666666666655,False,6.792666666666666
1975-08-02,3.099,False,False,3.099,0,3.099,False,False,4.222333333333333,False,4.222333333333333
1975-08-03,1.104,False,False,1.104,0,1.104,False,False,1.5196250000000002,False,1.5196250000000002
1975-08-04,1.133,False,False,1.133,0,1.133,False,False,1.1269583333333333,False,1.1269583333333333
1975-08-05,0.037,False,False,0.037,0,0.037,False,False,0.2653333333333333,False,0.2653333333333333
1975-08-06,0.611,False,False,0.611,0,0.611,False,False,0.4914166666666666,False,0.4914166666666666
1975-08-07,0.178,False,False,0.178,0,0.178,False,False,0.2682083333333333,False,0.2682083333333333
1975-08-08,-0.133,True,False,,1,0.0975,True,False,0.1142708333333333,False,0.1142708333333333
1975-08-09,0.017,False,False,0.017,0,0.017,False,False,0.0337708333333333,False,0.0337708333333333
1975-08-10,0.402,False,False,0.402,0,0.402,False,False,0.3217916666666667,False,0.3217916666666667
1975-08-11,-0.263,True,False,,4,0.3924,True,False,0.3944,False,0.3944
1975-08-12,-0.502,True,False,,4,0.3828,True,False,0.3848,False,0.3848
1975-08-13,-0.373,True,False,,4,0.3732,True,False,0.3752,False,0.3752
1975-08-14,-0.543,True,False,,4,0.3636,True,False,0.3656,False,0.3656
1975-08-15,0.354,False,False,0.354,0,0.354,False,False,0.356,False,0.356
1975-08-16,1.43,False,False,1.43,0,1.43,False,False,1.205833333333333,False,1.205833333333333
1975-08-17,0.42,False,False,0.42,0,0.42,False,False,0.6304166666666666,False,0.6304166666666666
1975-08-18,0.798,False,False,0.798,0,0.798,False,False,0.7192500000000001,False,0.71925
1975-08-19,1.241,False,False,1.241,0,1.241,False,False,1.1487083333333334,False,1.1487083333333334
1975-08-20,0.604,False,False,0.604,0,0.604,False,False,0.7367083333333334,False,0.7367083333333334
1975-08-21,0.269,False,False,0.269,0,0.269,False,False,0.3387916666666666,False,0.3387916666666666
1975-08-22,0.439,False,False,0.439,0,0.439,False,False,0.4035833333333333,False,0.4035833333333333
1975-08-23,0.175,False,False,0.175,0,0.175,False,False,0.23,False,0.23
1975-08-24,0.378,False,False,0.378,0,0.378,False,False,0.3357083333333333,False,0.3357083333333333
1975-08-25,-0.849,True,False,,2,0.2896666666666667,True,False,0.3080694444444444,False,0.3080694444444444
1975-08-26,-1.045,True,False,,2,0.2013333333333333,True,False,0.2197361111111111,False,0.2197361111111111
1975-08-27,0.113,False,False,0.113,0,0.113,False,False,0.1314027777777777,False,0.1314027777777777
1975-08-28,-0.039,True,False,,1,0.1515,True,False,0.1434791666666666,False,0.1434791666666666
1975-08-29,0.19,False,False,0.19,0,0.19,False,False,0.1819791666666666,False,0.1819791666666666
1975-08-30,-0.006,True,False,,2,0.355,True,False,0.320625,False,0.320625
1975-08-31,-0.117,True,False,,2,0.52,True,False,0.485625,False,0.485625
1975-09-01,0.685,False,False,0.685,0,0.685,False,False,0.650625,False,0.650625
1975-09-02,0.054,False,False,0.054,0,0.054,False,False,0.1854583333333334,False,0.1854583333333334
