date,raw_inflow,raw_outflow,negative_mask_inflow,negative_mask_outflow,filtered_inflow,filtered_outflow,linear_limit7_inflow,linear_limit7_outflow,negative_mask_utc_inflow,negative_mask_utc_outflow,full_replay_inflow,full_replay_outflow,strict_gap7_utc_inflow,strict_gap7_utc_outflow,CARS_inflow,CARS_outflow
1975-01-01,1.526,0.028,1.526,0.028,1.526,0.028,1.526,0.028,1.526,0.028,1.526,0.028,1.526,0.028,1.526,0.028
1975-01-02,0.964,0.028,0.964,0.028,0.964,0.028,0.964,0.028,1.1045,0.028,1.1045,0.028,1.1045,0.028,1.1045,0.028
1975-01-03,1.152,0.028,1.152,0.028,1.152,0.028,1.152,0.028,1.105,0.028,1.105,0.028,1.105,0.028,1.105,0.028
1975-01-04,2.083,0.028,2.083,0.028,2.083,0.028,2.083,0.028,1.8502500000000002,0.028,1.8502500000000002,0.028,1.8502500000000002,0.028,1.85025,0.028
1975-01-05,0.964,0.028,0.964,0.028,0.964,0.028,0.964,0.028,1.2437500000000001,0.028,1.2437500000000001,0.028,1.2437500000000001,0.028,1.24375,0.028
1975-01-06,1.15,0.028,1.15,0.028,1.15,0.028,1.15,0.028,1.1035,0.028,1.1035,0.028,1.1035,0.028,1.1035,0.028
1975-01-07,1.706,0.028,1.706,0.028,1.706,0.028,1.706,0.028,1.567,0.028,1.567,0.028,1.567,0.028,1.567,0.028
1975-01-08,1.898,0.028,1.898,0.028,1.898,0.028,1.898,0.028,1.8499999999999999,0.028,1.8499999999999999,0.028,1.8499999999999999,0.028,1.85,0.028
1975-01-09,1.524,0.028,1.524,0.028,1.524,0.028,1.524,0.028,1.6175,0.028,1.6175,0.028,1.6175,0.028,1.6175,0.028
1975-01-10,0.958,0.028,0.958,0.028,0.958,0.028,0.958,0.028,1.0995,0.028,1.0995,0.028,1.0995,0.028,1.0995,0.028
1975-01-11,2.084,0.028,2.084,0.028,2.084,0.028,2.084,0.028,1.8025,0.028,1.8025,0.028,1.8025,0.028,1.8025,0.028
