date,upstream_inflow,upstream_negative,upstream_missing,filtered_inflow,missing_run_length,linear_inflow,filled_in_linear_step,partially_filled_long_gap,utc_replay_inflow,utc_step_new_finite_on_date_label,CARS_inflow
1975-01-01,1.526,False,False,1.526,0,1.526,False,False,1.526,False,1.526
1975-01-02,0.964,False,False,0.964,0,0.964,False,False,1.1045,False,1.1045
1975-01-03,1.152,False,False,1.152,0,1.152,False,False,1.105,False,1.105
1975-01-04,2.083,False,False,2.083,0,2.083,False,False,1.85025,False,1.85025
1975-01-05,0.964,False,False,0.964,0,0.964,False,False,1.24375,False,1.24375
1975-01-06,1.15,False,False,1.15,0,1.15,False,False,1.1035,False,1.1035
1975-01-07,1.706,False,False,1.706,0,1.706,False,False,1.567,False,1.567
1975-01-08,1.898,False,False,1.898,0,1.898,False,False,1.85,False,1.85
1975-01-09,1.524,False,False,1.524,0,1.524,False,False,1.6175,False,1.6175
1975-01-10,0.958,False,False,0.958,0,0.958,False,False,1.0995,False,1.0995
1975-01-11,2.084,False,False,2.084,0,2.084,False,False,1.8025,False,1.8025
1975-01-12,0.028,False,False,0.028,0,0.028,False,False,0.542,False,0.542
1975-01-13,0.8,False,False,0.8,0,0.8,False,False,0.6070000000000001,False,0.6070000000000001
1975-01-14,0.808,False,False,0.808,0,0.808,False,False,0.806,False,0.806
1975-01-15,1.388,False,False,1.388,0,1.388,False,False,1.243,False,1.243
1975-01-16,1.198,False,False,1.198,0,1.198,False,False,1.2455,False,1.2454999999999998
1975-01-17,1.588,False,False,1.588,0,1.588,False,False,1.4905,False,1.4905
1975-01-18,1.783,False,False,1.783,0,1.783,False,False,1.73425,False,1.7342499999999998
1975-01-19,1.973,False,False,1.973,0,1.973,False,False,1.9255,False,1.9255
1975-01-20,1.393,False,False,1.393,0,1.393,False,False,1.538,False,1.538
1975-01-21,1.393,False,False,1.393,0,1.393,False,False,1.393,False,1.393
1975-01-22,1.583,False,False,1.583,0,1.583,False,False,1.5355,False,1.5355
1975-01-23,1.588,False,False,1.588,0,1.588,False,False,1.58675,False,1.58675
1975-01-24,1.588,False,False,1.588,0,1.588,False,False,1.588,False,1.588
1975-01-25,1.583,False,False,1.583,0,1.583,False,False,1.58425,False,1.58425
1975-01-26,2.206,False,False,2.206,0,2.206,False,False,2.05025,False,2.05025
1975-01-27,1.654,False,False,1.654,0,1.654,False,False,1.792,False,1.7919999999999998
1975-01-28,1.446,False,False,1.446,0,1.446,False,False,1.498,False,1.498
1975-01-29,1.248,False,False,1.248,0,1.248,False,False,1.2975,False,1.2975
1975-01-30,1.857,False,False,1.857,0,1.857,False,False,1.70475,False,1.70475
1975-01-31,1.824,False,False,1.824,0,1.824,False,False,1.83225,False,1.83225
1975-02-01,0.435,False,False,0.435,0,0.435,False,False,0.78225,False,0.7822499999999999
1975-02-02,1.653,False,False,1.653,0,1.653,False,False,1.3485,False,1.3485
1975-02-03,1.449,False,False,1.449,0,1.449,False,False,1.5,False,1.5
1975-02-04,1.444,False,False,1.444,0,1.444,False,False,1.44525,False,1.44525
1975-02-05,1.043,False,False,1.043,0,1.043,False,False,1.14325,False,1.14325
1975-02-06,0.637,False,False,0.637,0,0.637,False,False,0.7385,False,0.7384999999999999
1975-02-07,1.043,False,False,1.043,0,1.043,False,False,0.9415,False,0.9415
1975-02-08,0.84,False,False,0.84,0,0.84,False,False,0.8907499999999999,False,0.8907499999999999
1975-02-09,1.038,False,False,1.038,0,1.038,False,False,0.9885,False,0.9885
1975-02-10,0.84,False,False,0.84,0,0.84,False,False,0.8895,False,0.8895
1975-02-11,2.296,False,False,2.296,0,2.296,False,False,1.932,False,1.932
1975-02-12,1.087,False,False,1.087,0,1.087,False,False,1.38925,False,1.38925
1975-02-13,1.506,False,False,1.506,0,1.506,False,False,1.40125,False,1.40125
1975-02-14,1.511,False,False,1.511,0,1.511,False,False,1.50975,False,1.50975
1975-02-15,1.934,False,False,1.934,0,1.934,False,False,1.82825,False,1.82825
1975-02-16,2.776,False,False,2.776,0,2.776,False,False,2.5654999999999997,False,2.5654999999999997
1975-02-17,0.664,False,False,0.664,0,0.664,False,False,1.192,False,1.192
1975-02-18,0.875,False,False,0.875,0,0.875,False,False,0.82225,False,0.82225
1975-02-19,2.984,False,False,2.984,0,2.984,False,False,2.45675,False,2.45675
1975-02-20,0.874,False,False,0.874,0,0.874,False,False,1.4015000000000002,False,1.4015000000000002
1975-02-21,0.663,False,False,0.663,0,0.663,False,False,0.71575,False,0.71575
1975-02-22,1.932,False,False,1.932,0,1.932,False,False,1.61475,False,1.61475
1975-02-23,1.504,False,False,1.504,0,1.504,False,False,1.611,False,1.611
1975-02-24,1.086,False,False,1.086,0,1.086,False,False,1.1768695652173913,False,1.1768695652173915
1975-02-25,1.959,False,False,1.959,0,1.959,False,False,1.777125,False,1.777125
1975-02-26,1.352,False,False,1.352,0,1.352,False,False,1.4784583333333334,False,1.4784583333333334
1975-02-27,1.126,False,False,1.126,0,1.126,False,False,1.1730833333333333,False,1.1730833333333333
