date,inflow,outflow,raw_inflow,negative_mask_inflow,filtered_inflow,linear_limit7_inflow,negative_mask_utc_inflow,full_replay_inflow,strict_gap7_utc_inflow,CARS_inflow
2007-08-20,-0.287,0.113,-0.287,,,,,,,
2007-08-21,-0.272,0.113,-0.272,,,,,,,
2007-08-22,-0.472,0.113,-0.472,,,,,,,
2007-08-23,1.084,0.113,1.084,1.084,1.084,1.084,1.0758750000000001,1.0758750000000001,1.0758750000000001,1.075875
2007-08-24,-0.857,0.113,-0.857,,,17.773083333333332,14.296190972222222,14.296190972222222,14.296190972222222,14.296190972222222
2007-08-25,-0.272,0.113,-0.272,,,34.46216666666667,,30.985274305555556,,30.985274305555556
2007-08-26,,0.113,,,,51.15125,,47.674357638888885,,47.67435763888889
2007-08-27,-0.472,0.113,-0.472,,,67.84033333333333,,64.36344097222222,,64.36344097222222
2007-08-28,-0.272,0.113,-0.272,,,84.52941666666666,,81.05252430555555,,81.05252430555555
2007-08-29,-0.857,0.113,-0.857,,,101.21849999999999,,97.74160763888888,,97.7416076388889
2007-08-30,-0.272,0.113,-0.272,,,117.90758333333333,,114.43069097222222,,114.43069097222222
2007-08-31,-0.272,0.113,-0.272,,,,,131.11977430555555,,131.11977430555555
2007-09-01,-0.472,0.113,-0.472,,,,,,,
2007-09-02,,0.113,,,,,,,,
2007-09-03,,0.113,,,,,,,,
2007-09-04,201.353,0.113,201.353,201.353,201.353,201.353,197.87610763888887,197.8761076388889,197.87610763888887,197.8761076388889
2007-09-05,-0.658,0.113,-0.658,,,167.81300000000002,174.8005,174.80050000000003,174.80050000000003,174.8005
2007-09-06,-0.458,0.113,-0.458,,,134.27300000000002,,141.26050000000004,141.26050000000004,141.26050000000004
2007-09-07,-0.272,0.113,-0.272,,,100.733,,107.7205,107.7205,107.72050000000002
2007-09-08,-0.087,0.113,-0.087,,,67.19300000000001,,74.18050000000001,74.18050000000001,74.18050000000001
2007-09-09,-0.072,0.113,-0.072,,,33.65300000000001,,40.64050000000001,40.64050000000001,40.64050000000002
2007-09-10,0.113,0.113,0.113,0.113,0.113,0.113,7.100500000000004,7.100500000000002,7.100500000000002,7.100500000000004
2007-09-11,-0.458,0.113,-0.458,,,0.113,0.113,0.113,0.113,0.113
2007-09-12,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113,0.113
2007-09-13,-0.272,0.113,-0.272,,,0.113,0.113,0.113,0.113,0.113
2007-09-14,-0.272,0.113,-0.272,,,0.113,,0.113,0.113,0.113
2007-09-15,-0.272,0.113,-0.272,,,0.113,,0.113,0.113,0.113
