country,ID,period,flagged,LAT,LON,early_start,early_end,late_start,late_end,early_nyears,late_nyears,mean_shift,season_shift,abs_shape_change,early_shape,early_ratio,early_low10,early_cv,early_zero_delta,early_mean_in,early_concentration,early_trend,early_month1,early_month2,early_month3,early_month4,early_month5,early_month6,early_month7,early_month8,early_month9,early_month10,early_month11,early_month12,late_shape,late_ratio,late_low10,late_cv,late_zero_delta,late_mean_in,late_concentration,late_trend,late_month1,late_month2,late_month3,late_month4,late_month5,late_month6,late_month7,late_month8,late_month9,late_month10,late_month11,late_month12,MAIN_BAS
US,1001,train,False,37.840623,-96.813814,1980,1989,1990,1999,10,10,0.30357989200048513,0.23480505749603375,0.08594881659214063,0.213492722042096,0.572851244440706,0.0,3.5793356285817914,-0.10876712328767121,3.588237378509033,0.11041336395757737,0.39328281506996987,0.03499247349740156,0.07043428425904878,0.1446805099372617,0.1711750187804933,0.14047604741217934,0.11018365315173384,0.042640821101816266,0.052411775078577194,0.03664314848732969,0.11268782919538384,0.03924866993584086,0.044425769162933525,0.2994415386342366,0.7572490798431898,0.029212189318620185,3.7985236008908774,-0.401697699890471,4.860984517496864,0.12967962211756645,0.3619415152206642,0.020500607420091493,0.0461520640472545,0.09030169916717806,0.1426166209455653,0.1891570665601596,0.20290851449074773,0.056436468942660294,0.040485667069055785,0.022231041312289226,0.025932281778027956,0.11600802187658876,0.04726994639038119,7060047060.0
US,1003,train,False,37.741526,-95.921996,1980,1989,1990,1999,10,10,0.026468497180830178,0.1790047968356784,0.03334426937705248,0.4312350447711745,0.9863783381343949,0.0037978029965581965,3.292402688188013,-0.021626060771968245,15.008677398921673,0.10582730192679754,0.3666886342569876,0.0340810462752199,0.08516582476220926,0.13374220854977995,0.1492959655270022,0.1356966714822,0.12585834199344595,0.015462033509247491,0.06111150387181932,0.039760479683307266,0.10276839104342553,0.06128852693282357,0.05576900636951958,0.39789077539412204,0.9657489691380513,0.0035958606576160577,3.6712907746100636,-0.08242059145673604,15.411238627752114,0.11142053394138113,0.1836589403357946,0.03193860824769264,0.05785435052104286,0.10608031617401,0.1444107478715702,0.172172787489001,0.10804813551279706,0.058030135452563955,0.024337580865347205,0.032168749814997635,0.04794047586307344,0.14583602213716468,0.07118209005073947,7060047060.0
US,1006,train,False,37.689583,-93.76875,1980,1989,1990,1999,10,10,0.10326090585019816,0.17892085930867035,0.06862479260299192,0.5012735670465239,0.9014397634809794,-0.04884094855848108,2.146493076321936,0.0002737476047084588,34.7863841744526,0.10456745716180378,0.3717491462529604,0.06847122711069707,0.10576480474599391,0.1456131816343494,0.14490075819444762,0.08024100435804025,0.06564613301974953,0.030011317755819156,0.028363227588115,0.026150343142133707,0.0630303919950164,0.1122953944082225,0.12951221604741553,0.432648774443532,0.917394424756589,-0.06240525465652513,2.1213441714161885,0.0,38.57046995878772,0.10316978296641854,-0.18471233776016818,0.07661065288287822,0.0721940257848428,0.12081555104529067,0.13318199627391117,0.17359620630911554,0.08733334493391853,0.04599332835005481,0.018870787050905658,0.06590735221914285,0.04443869924504921,0.09130161757639188,0.0697564383284985,7060047060.0
US,1007,train,False,37.649318,-96.06875,1980,1989,1990,1999,10,10,0.1012363802221713,0.17994865333664378,0.003370227203922993,0.41288169543431374,0.9792224413395029,0.004836773181822407,3.3945711580149878,-0.0186148371201752,10.535605333912565,0.11277308543351316,0.3654310620084692,0.03773766771639144,0.09037694410725597,0.1436526438625422,0.1731421180092142,0.1436773462048166,0.11550591684656727,0.020758416345979806,0.03051248322970433,0.035918092340008166,0.09985387693193219,0.050350492835891235,0.05851400156969656,0.40951146823039075,0.9638037299089863,0.004803547971459319,3.44507563388024,-0.07749178532311062,11.658049494400528,0.11580871225993541,0.283416625615017,0.03610864698756296,0.0539979771158255,0.11459343401843726,0.1427400367338031,0.16622323358751798,0.14542629407383686,0.0422962001113121,0.02941249864129473,0.02154153384130112,0.03285104552218003,0.1393027131343879,0.07550638623254037,7060047060.0
US,1017,train,False,37.136323,-90.774448,1980,1989,1990,1999,10,10,0.07311152670124513,0.1465821377019887,0.0737201061130533,0.3606118019797683,0.9908748197156512,-0.050661013468160376,2.141879787126787,0.0046537092800438,27.393040097895348,0.10154911964275169,0.2153384659784099,0.07464930463429661,0.10554976679910183,0.0961019456108242,0.12415678952327222,0.10447270141598894,0.07703013699145232,0.03414289495215856,0.0384565448931413,0.03097420178615421,0.04185087469762931,0.11603178299128616,0.15658305570469416,0.286891695866715,0.9924843437302984,-0.010208946932849452,1.7789201090995068,0.0,29.470816331888248,0.10589994434186288,0.00940432931704901,0.10060860964647546,0.08089615329031082,0.11565827205850188,0.168033351621012,0.1474698422602029,0.06847957612171923,0.04632966051058345,0.030987956835868743,0.03298023952790784,0.031359315365402166,0.10100069477415227,0.07619632798786323,7060047060.0
US,1017,test,False,37.136323,-90.774448,2000,2009,2010,2019,10,10,0.24177886827061593,0.08936960038271644,0.07034695351870962,0.30636326916133255,0.9922848092369912,-0.01580790911346774,2.2306606206254185,0.0,24.48117988842435,0.1125031076862521,0.2414487875196399,0.08021223841706773,0.09831273395018997,0.15294341900555344,0.14130351989282972,0.17864208861531267,0.06628227910014979,0.03561890605251853,0.027048614557814526,0.034183008397172296,0.02746530510192866,0.06603710995856618,0.09195077695089626,0.3767102226800422,0.9876262748847598,-0.0023538985585335784,2.4312780824503624,0.0,31.177089769061546,0.11043514027520925,0.2682665491913383,0.07085769949007727,0.07294722455822401,0.11012121267682091,0.1698499780751085,0.18867677075119466,0.06599329110025977,0.04798978220344943,0.050519010942912675,0.03050277382722329,0.04241249263045537,0.06262717877348059,0.08750258497079351,7060047060.0
US,1020,train,False,36.886385,-95.972917,1980,1989,1990,1999,9,10,0.1264518298373936,0.10368673838130858,0.056279475519197264,0.333527076276568,0.940247040841603,0.0018631831169473106,3.277256998108301,-0.016272643536997235,15.028045147744768,0.11613333508568152,0.6101453409496851,0.03154561242154381,0.07433880701904934,0.13604994950723592,0.13146400013661463,0.15718244332174308,0.15585559921808123,0.034163278349276516,0.00749389829431002,0.03431277623910032,0.128132866924903,0.05725769292619929,0.052203075641942674,0.3898065517957653,0.9409835525025927,0.010722676044316665,2.5456494155489597,-0.17031763417305587,13.242962802673143,0.1186907207201656,0.26047681760258123,0.042334228504317443,0.06438728829498072,0.13039724294539828,0.13638870977592482,0.18851885477303257,0.15723792577369927,0.06507032946243375,0.008991380487609644,0.014728861162183374,0.05963426890641763,0.07079761904172621,0.06151329087227613,7060047060.0
US,1021,train,False,36.747179,-98.140473,1980,1989,1990,1999,10,10,0.496890099717678,0.1073774999729562,0.017372212820955246,0.1620128204900244,0.9126215519401153,-0.034510886173520605,1.9494305080143708,0.014234875444839857,16.44650127149811,0.10625221111845684,0.3508020547251844,0.03615974383299278,0.048004089295222645,0.11571361871880338,0.11845323023618493,0.1537837249009544,0.16699403138479896,0.07298944436759494,0.0391342489733661,0.055229729708423,0.08548102580657224,0.07175698727306903,0.03630012550201757,0.17938503331097966,0.9837281574271821,-0.009516058301949558,2.142351195680906,-0.022453450164293537,27.03150035142546,0.09958990698955555,0.9251681107875727,0.04121907009567097,0.04246432887140811,0.08324885766368521,0.118141136769547,0.1537377172647501,0.13617919617382712,0.09932066959429454,0.09162718955390482,0.05269131715717277,0.04981939617761298,0.0863739007378418,0.0451772199402844,7060047060.0
US,1023,train,False,36.702154,-96.927032,1980,1989,1990,1999,10,10,0.1501581106666808,0.1657399597456631,0.03365804442986445,0.23897077545471382,0.9646084507883987,-0.0587195959163853,1.9204448090587967,0.0035587188612099642,96.4413993594901,0.09867014534510682,0.39068110447727017,0.037150820198804176,0.05603473190697841,0.1273276966001512,0.13755291984553938,0.12339156224456364,0.12506015893128747,0.07160496887594638,0.045299063829510204,0.06040718077644558,0.10291419432430789,0.0692423454072826,0.04401435705918306,0.20531273102484937,0.9734506699702858,-0.0640365647246809,2.0757766288171977,0.0,112.06663772258996,0.10531744171909926,0.3552068345579249,0.0385988280688527,0.05314233634177258,0.09182338816753771,0.09747856191700682,0.1630258795693422,0.16350688451568543,0.10288268383028253,0.060981036189354194,0.03929217536143681,0.03676030192000544,0.09781618862987984,0.05469173548884379,7060047060.0
US,1026,train,False,36.597936,-93.311648,1980,1989,1990,1999,10,10,0.2185779546537356,0.13266077177107072,0.015066426171802871,0.26443048161331983,0.9440440657054554,-0.06305714104806295,1.658047623013759,0.0,115.44731036544448,0.1065229029769647,0.48077986199881,0.066982584122454,0.12036804704558872,0.1502347595114182,0.14943335710877106,0.08592249402973347,0.0764788555386758,0.041208070987490575,0.03836838864406936,0.02346404164913268,0.03916620316404027,0.06918101241365521,0.13919218578497064,0.24936405544151696,0.9635442535005001,-0.05810966301812613,1.3500730960120721,0.0,143.65178239052625,0.10416587429849726,-0.23265865730586846,0.10225968378372326,0.09375223696294377,0.13292150400956357,0.14952026874768545,0.1423901254375188,0.08899209975629571,0.043786356051745336,0.030886066637519406,0.03977521297288496,0.022545850169155057,0.07860744087113002,0.07456315459983466,7060047060.0
