country,ID,index_right,MAIN_BAS,ambiguous
US,1001,14568,7060047060.0,False
US,1003,14529,7060047060.0,False
US,1006,14591,7060047060.0,False
US,1007,14529,7060047060.0,False
US,1017,14511,7060047060.0,False
US,1020,14529,7060047060.0,False
US,1021,14569,7060047060.0,False
US,1023,14568,7060047060.0,False
US,1026,14516,7060047060.0,False
US,1027,14524,7060047060.0,False
US,1028,14529,7060047060.0,False
US,1032,14529,7060047060.0,False
US,1033,14516,7060047060.0,False
US,1036,14516,7060047060.0,False
US,1042,14517,7060047060.0,False
US,1048,14528,7060047060.0,False
US,1053,14526,7060047060.0,False
US,1067,14504,7060047060.0,False
US,1084,14509,7060047060.0,False
US,1086,14892,7060049270.0,False
US,1092,14503,7060047060.0,False
US,1093,14514,7060047060.0,False
US,1101,14479,7060047060.0,False
US,1112,14486,7060047060.0,False
US,1120,14542,7060047060.0,False
US,1121,14486,7060047060.0,False
US,1122,14497,7060047060.0,False
US,1125,14486,7060047060.0,False
US,1127,14497,7060047060.0,False
US,1134,14496,7060047060.0,False
US,114,13455,7060014340.0,False
US,1151,14802,7060047970.0,False
US,1192,14484,7060047060.0,False
US,1207,14457,7060046870.0,False
US,1237,14795,7060047970.0,False
US,1249,14818,7060048410.0,False
US,131,13446,7060014200.0,False
US,132,13436,7060013550.0,False
US,133,13436,7060013550.0,False
US,144,13434,7060013550.0,False
US,148,13426,7060013550.0,False
US,1586,14604,7060047060.0,False
US,1587,14604,7060047060.0,False
US,1592,14604,7060047060.0,False
US,1595,14689,7060047060.0,False
US,1600,14689,7060047060.0,False
US,1606,14689,7060047060.0,False
US,1617,14689,7060047060.0,False
US,1619,14689,7060047060.0,False
US,1620,14689,7060047060.0,False
US,1631,14689,7060047060.0,False
US,1634,14621,7060047060.0,False
US,1636,14689,7060047060.0,False
US,1645,14581,7060047060.0,False
US,1650,14669,7060047060.0,False
US,1654,14573,7060047060.0,False
US,1655,14620,7060047060.0,False
US,1656,14621,7060047060.0,False
US,168,13426,7060013550.0,False
US,1683,14620,7060047060.0,False
US,169,13441,7060013560.0,False
US,1691,14686,7060047060.0,False
US,1699,14682,7060047060.0,False
US,1703,14556,7060047060.0,False
US,1706,14644,7060047060.0,False
US,1707,14644,7060047060.0,False
US,1709,14691,7060047060.0,False
US,1712,14644,7060047060.0,False
US,1713,14644,7060047060.0,False
US,1714,14620,7060047060.0,False
US,1718,14565,7060047060.0,False
US,1723,14644,7060047060.0,False
US,1726,14644,7060047060.0,False
US,1733,14644,7060047060.0,False
US,1735,14644,7060047060.0,False
US,1739,14603,7060047060.0,False
US,1740,14564,7060047060.0,False
US,1741,14564,7060047060.0,False
US,1742,14644,7060047060.0,False
US,1744,14603,7060047060.0,False
US,1752,14534,7060047060.0,False
US,1753,14533,7060047060.0,False
US,1754,14631,7060047060.0,False
US,1755,14564,7060047060.0,False
US,1756,14594,7060047060.0,False
US,1761,14366,7060042310.0,False
US,1762,14594,7060047060.0,False
US,1768,14582,7060047060.0,False
US,1775,14583,7060047060.0,False
US,1776,14380,7060043090.0,False
US,1777,14595,7060047060.0,False
US,1782,14368,7060042740.0,False
US,1796,14370,7060042940.0,False
US,180,13441,7060013560.0,False
US,182,13421,7060013550.0,False
US,1848,14479,7060047060.0,False
US,185,13417,7060013550.0,False
US,1851,14392,7060043500.0,False
US,1864,14479,7060047060.0,False
US,1869,14479,7060047060.0,False
US,1872,14392,7060043500.0,False
US,1879,14382,7060043160.0,False
US,1883,14398,7060043640.0,False
US,191,13419,7060013550.0,False
US,1910,14420,7060045890.0,False
US,193,13420,7060013550.0,False
US,198,13420,7060013550.0,False
US,204,13420,7060013550.0,False
US,223,13415,7060013180.0,False
US,292,13801,7060022240.0,False
US,293,14763,7060047060.0,False
US,297,13522,7060014930.0,False
US,300,14773,7060047060.0,False
US,307,14762,7060047060.0,False
US,310,13497,7060014930.0,False
US,316,13531,7060014930.0,False
US,319,14772,7060047060.0,False
US,355,14769,7060047060.0,False
US,361,13493,7060014930.0,False
US,362,14772,7060047060.0,False
US,364,14772,7060047060.0,False
US,367,13493,7060014930.0,False
US,368,14772,7060047060.0,False
US,372,13493,7060014930.0,False
US,373,14771,7060047060.0,False
US,378,13549,7060014930.0,False
US,384,13548,7060014930.0,False
US,385,14770,7060047060.0,False
US,386,13509,7060014930.0,False
US,390,13538,7060014930.0,False
US,391,13506,7060014930.0,False
US,393,14770,7060047060.0,False
US,398,14770,7060047060.0,False
US,399,14770,7060047060.0,False
US,41,13559,7060016090.0,False
US,413,13528,7060014930.0,False
US,415,14738,7060047060.0,False
US,416,14738,7060047060.0,False
US,419,13387,7060008710.0,False
US,42,13559,7060016090.0,False
US,421,14738,7060047060.0,False
US,423,13387,7060008710.0,False
US,431,15082,7060073620.0,False
US,438,15081,7060073620.0,False
US,442,15081,7060073620.0,False
US,445,13388,7060008710.0,False
US,448,13388,7060008710.0,False
US,449,15081,7060073620.0,False
US,450,15081,7060073620.0,False
US,451,13385,7060008710.0,False
US,456,15081,7060073620.0,False
US,467,15080,7060073620.0,False
US,469,13380,7060008710.0,False
US,470,13379,7060008710.0,False
US,471,13379,7060008710.0,False
US,473,13380,7060008710.0,False
US,477,15080,7060073620.0,False
US,488,13379,7060008710.0,False
US,492,13384,7060008710.0,False
US,493,13379,7060008710.0,False
US,497,13384,7060008710.0,False
US,500,14730,7060047060.0,False
US,502,13384,7060008710.0,False
US,505,14730,7060047060.0,False
US,506,13366,7060008710.0,False
US,509,13384,7060008710.0,False
US,511,14730,7060047060.0,False
US,517,13381,7060008710.0,False
US,518,13366,7060008710.0,False
US,522,14730,7060047060.0,False
US,524,15144,7060073920.0,False
US,529,14730,7060047060.0,False
US,530,14730,7060047060.0,False
US,531,13376,7060008710.0,False
US,533,14730,7060047060.0,False
US,536,13376,7060008710.0,False
US,541,13376,7060008710.0,False
US,542,13376,7060008710.0,False
US,549,13376,7060008710.0,False
US,55,13479,7060014930.0,False
US,567,13369,7060008710.0,False
US,57,13479,7060014930.0,False
US,572,13364,7060008710.0,False
US,574,13371,7060008710.0,False
US,575,13373,7060008710.0,False
US,585,13430,7060013550.0,False
US,592,13430,7060013550.0,False
US,595,13431,7060013550.0,False
US,597,13352,7060008710.0,False
US,60,13479,7060014930.0,False
US,600,13432,7060013550.0,False
US,601,13373,7060008710.0,False
US,605,15120,7060013550.0,False
US,609,15120,7060013550.0,False
US,612,15120,7060013550.0,False
US,63,13479,7060014930.0,False
US,7308,14392,7060043500.0,False
US,7311,14529,7060047060.0,False
US,7313,14772,7060047060.0,False
US,7318,14594,7060047060.0,False
US,753,14749,7060047060.0,False
US,758,14734,7060047060.0,False
US,768,14721,7060047060.0,False
US,777,14719,7060047060.0,False
US,780,14719,7060047060.0,False
US,784,14749,7060047060.0,False
US,789,14721,7060047060.0,False
US,798,14749,7060047060.0,False
US,836,13763,7060022240.0,False
US,837,14744,7060047060.0,False
US,868,14746,7060047060.0,False
US,870,14732,7060047060.0,False
US,882,14747,7060047060.0,False
US,884,14732,7060047060.0,False
US,885,14747,7060047060.0,False
US,893,14747,7060047060.0,False
US,895,14718,7060047060.0,False
US,898,14738,7060047060.0,False
US,920,14704,7060047060.0,False
US,929,14704,7060047060.0,False
US,931,14704,7060047060.0,False
US,938,14714,7060047060.0,False
US,939,14714,7060047060.0,False
US,948,14672,7060047060.0,False
US,952,14672,7060047060.0,False
US,953,14672,7060047060.0,False
