date,inflow,outflow,country,ID
1993-05-07,32.452604166666674,18.291708333333332,US,1095
1993-05-08,51.70010416666667,28.735708333333335,US,1095
1993-05-09,32.569583333333334,105.97529166666666,US,1095
1993-05-10,127.35891666666669,141.13541666666666,US,1095
1993-05-11,147.68666666666667,129.57258333333334,US,1095
1993-05-12,57.62479166666665,86.88566666666667,US,1095
1993-05-13,42.794958333333334,52.079375000000006,US,1095
1993-05-14,37.673027777777776,32.139583333333334,US,1095
1993-05-06,18.571041666666662,25.995125,US,1095
2001-11-11,1.6803333333333337,0.934,US,144
2001-11-12,3.851,0.9533333333333334,US,144
2001-11-13,3.8037777777777775,24845546.976666663,US,144
2001-11-14,2.5014444444444446,62113865.997166656,US,144
2001-11-15,1.1991111111111112,24845550.658,US,144
2001-11-16,1.029,3.8983333333333334,US,144
2001-11-17,0.9723333333333334,1.491,US,144
2001-11-18,0.708,0.9153333333333332,US,144
2001-11-10,0.6136666666666667,0.9246666666666667,US,144
2005-12-28,1.9913333333333332,0.0243333333333333,US,163
2005-12-29,2.029333333333333,0.009,US,163
2005-12-30,2.039,0.0386666666666666,US,163
2005-12-31,2.341,0.072,US,163
2006-01-01,6.248666666666667,0.0456666666666666,US,163
2006-01-02,9.920333333333334,0.031,US,163
2006-01-03,14.064333333333334,0.0106666666666666,US,163
2008-01-01,0.187,0.0,US,163
2008-01-02,0.184,0.0,US,163
2008-01-03,0.186,0.0006666666666666,US,163
2008-01-04,0.3263333333333333,0.0676666666666666,US,163
2008-01-05,0.4153333333333333,0.0516666666666666,US,163
2008-01-06,0.4056666666666667,0.013,US,163
2008-01-07,0.4153333333333333,0.002,US,163
2012-11-29,0.3086666666666666,0.0099999999999999,US,163
2012-11-30,2.001333333333333,0.0473333333333333,US,163
2012-12-01,3.360666666666667,0.0276666666666666,US,163
2012-12-02,5.342333333333333,0.0563333333333333,US,163
2012-12-03,5.351666666666667,0.027,US,163
2012-12-04,3.0016666666666665,0.0033333333333333,US,163
2012-12-05,3.0963333333333334,0.0136666666666666,US,163
1998-03-09,2.29325,3445.447,US,1916
1998-03-10,3.95,4820.935,US,1916
1998-03-11,3.7095,5904.053,US,1916
1998-03-12,2.931,6357.121999999999,US,1916
1998-03-13,2.32175,6215.5380000000005,US,1916
1998-03-14,2.0105,5295.242,US,1916
1998-03-15,1.8475,4226.282499999999,US,1916
1998-03-16,1.70625,3539.6,US,1916
1998-03-08,1.28825,2366.57675,US,1916
2006-05-17,35.998083333333334,0.5952083333333333,US,524
2006-05-18,37.04783333333334,0.6421250000000001,US,524
2006-05-19,37.779625,0.6690416666666668,US,524
2006-05-20,38.746833333333335,0.6860416666666667,US,524
2006-05-21,39.87954166666667,0.684625,US,524
2006-05-22,41.41345833333333,0.682,US,524
2006-05-23,42.71154166666667,0.6685416666666667,US,524
2006-05-24,43.24245833333334,0.6509583333333333,US,524
2006-05-25,43.52545833333333,0.6375,US,524
1979-08-06,0.38675,1.92575,US,572
1979-08-07,0.4465,1.94625,US,572
1979-08-08,0.45275,1.941,US,572
1979-08-09,0.11325,14558.858250000005,US,572
1979-08-10,0.17625,4854.218999999999,US,572
1979-08-11,0.41125,1.90325,US,572
1979-08-12,0.64625,1.88725,US,572
1979-08-13,0.805392857142857,1.882,US,572
1989-08-07,0.2705,1.274,US,572
1989-08-08,0.09175,1.232,US,572
1989-08-09,0.181,1.218,US,572
1989-08-10,90.78825,91.62525,US,572
1989-08-11,90.82525,31.204499999999996,US,572
1989-08-12,50.62691666666667,0.6792499999999999,US,572
1989-08-13,10.428583333333336,0.566,US,572
2010-07-13,2.1084375,17.533541666666665,US,956
2010-07-14,3.472833333333333,17.85183333333333,US,956
2010-07-15,2.2052916666666667,18.002333333333333,US,956
2010-07-16,1.9120833333333336,18.07175,US,956
2010-07-17,9.797791666666663,17.397416666666665,US,956
2010-07-18,4.331083333333334,16.895583333333335,US,956
2010-07-19,2.6094583333333334,16.942416666666666,US,956
2010-07-12,2.7489375,16.986291666666666,US,956
2010-07-11,5.2443333333333335,16.803333333333335,US,956
1998-08-10,2.6188333333333333,5.663,US,976
1998-08-11,6.212166666666667,9.250041666666668,US,976
1998-08-12,17.680041666666668,11.090958333333331,US,976
1998-08-13,9.211291666666668,11.327,US,976
1998-08-14,5.457583333333334,11.327,US,976
1998-08-15,1.256416666666667,11.327,US,976
1998-08-16,1.1077083333333335,11.327,US,976
1998-08-17,1.4154583333333333,11.327,US,976
1998-08-18,1.4274027777777778,11.327,US,976
