source,model,n,groups,events,event_rate,brier,brier_difference,difference_low,difference_high,auc,average_precision,risk_error_spearman,top20_event_rate,top20_lift
cars,combined,153,18,36,0.23529411764705882,0.2634892478896849,0.08198001903064916,-0.037930445569645276,0.11439347144605091,0.5040360873694207,0.2604028194369977,-0.06758384528139413,0.1935483870967742,0.8225806451612903
cars,hydrology,153,18,36,0.23529411764705882,0.185225606685564,0.0037163778265282806,-0.05083909255902793,0.015003768134721172,0.5301519468186134,0.323511431186731,-0.0553473512446746,0.3225806451612903,1.3709677419354838
cars,prevalence,153,18,36,0.23529411764705882,0.18150922885903573,0.0,0.0,0.0,0.3929249762583096,0.20127800701219184,-0.1269285570194089,0.2903225806451613,1.2338709677419355
cars,storage,153,18,36,0.23529411764705882,0.26391311851107996,0.0824038896520442,-0.008248812240519715,0.11156985277142434,0.5059354226020892,0.2438773374654045,-0.038491562594629054,0.1935483870967742,0.8225806451612903
raw,combined,153,18,36,0.23529411764705882,0.2434987859795944,0.06253073398674867,-0.04884356831711168,0.09730764775258859,0.5327635327635328,0.2840449090428745,-0.026118190255686867,0.22580645161290322,0.9596774193548387
raw,hydrology,153,18,36,0.23529411764705882,0.1851817575551107,0.004213705562264983,-0.05658656666680312,0.01648499417679931,0.5052231718898386,0.30713588825383864,-0.07238709201845529,0.3548387096774194,1.5080645161290323
raw,prevalence,153,18,36,0.23529411764705882,0.1809680519928457,0.0,0.0,0.0,0.4490740740740741,0.2200397663854814,-0.148751682098899,0.2903225806451613,1.2338709677419355
raw,storage,153,18,36,0.23529411764705882,0.25483439092693716,0.07386633893409143,-0.01732181191538164,0.10741898231488317,0.540360873694207,0.2715636593277698,0.017986773563172583,0.1935483870967742,0.8225806451612903
